Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Macao	82				82.0	1.0	0.0		123.0		5375.0	8085.0	664828.0	Asia
2022-04-03	Macao	82				82.0		0.0		123.0		5375.0	8085.0	664852.0	Asia
2022-04-04	Macao	82				82.0		0.0		123.0		5375.0	8084.0	664876.0	Asia
2022-04-05	Macao	82				82.0		0.0		123.0		5375.0	8084.0	664900.0	Asia
2022-04-06	Macao	82				82.0		0.0		123.0		5375.0	8084.0	664924.0	Asia
2022-04-07	Macao	82				82.0		0.0		123.0		5375.0	8083.0	664949.0	Asia
2022-04-08	Macao	82				82.0		0.0		123.0		5375.0	8083.0	664973.0	Asia
2022-04-09	Macao	82				82.0		0.0		123.0		5375.0	8083.0	664997.0	Asia
2022-04-10	Macao	82				82.0		0.0		123.0		5375.0	8082.0	665021.0	Asia
2022-04-11	Macao	82				82.0		0.0		123.0		5375.0	8082.0	665045.0	Asia
2022-04-12	Macao	82				82.0		0.0		123.0		5375.0	8082.0	665070.0	Asia
2022-04-13	Macao	82				82.0		0.0		123.0		5375.0	8082.0	665070.0	Asia
2022-04-14	Macao	82				82.0		0.0		123.0		5375.0	8082.0	665070.0	Asia
