Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Madagascar	64009		1384.0		59280.0		3345.0	19.0	2212.0	48.0	410717.0	14194.0	28936285.0	Africa
2022-04-03	Madagascar	64050	41.0	1388.0	4.0	59313.0	33.0	3349.0	22.0	2213.0	48.0	413244.0	14280.0	28938236.0	Africa
2022-04-04	Madagascar	64050		1388.0		59313.0		3349.0	22.0	2213.0	48.0	413244.0	14279.0	28940188.0	Africa
2022-04-05	Madagascar	64050		1388.0		59313.0		3349.0	22.0	2213.0	48.0	413244.0	14278.0	28942139.0	Africa
2022-04-06	Madagascar	64050		1388.0		59313.0		3349.0	22.0	2213.0	48.0	413244.0	14277.0	28944091.0	Africa
2022-04-07	Madagascar	64050		1388.0		59313.0		3349.0	22.0	2213.0	48.0	413244.0	14276.0	28946042.0	Africa
2022-04-08	Madagascar	64050		1388.0		59313.0		3349.0	22.0	2213.0	48.0	413244.0	14275.0	28947993.0	Africa
2022-04-09	Madagascar	64050		1388.0		59313.0		3349.0	22.0	2212.0	48.0	413244.0	14274.0	28949945.0	Africa
2022-04-10	Madagascar	64050		1388.0		59313.0		3349.0	22.0	2212.0	48.0	413244.0	14273.0	28951896.0	Africa
2022-04-11	Madagascar	64089	39.0	1390.0	2.0	59355.0	42.0	3344.0	14.0	2213.0	48.0	415532.0	14352.0	28953847.0	Africa
2022-04-12	Madagascar	64089		1390.0		59355.0		3344.0	14.0	2213.0	48.0	415532.0	14351.0	28955799.0	Africa
2022-04-13	Madagascar	64089		1390.0		59355.0		3344.0	14.0	2213.0	48.0	415532.0	14351.0	28955799.0	Africa
2022-04-14	Madagascar	64089		1390.0		59355.0		3344.0	14.0	2213.0	48.0	415532.0	14351.0	28955799.0	Africa
