Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Malawi	85650	10.0	2626.0		80654.0	324.0	2370.0	67.0	4284.0	131.0	562421.0	28129.0	19994654.0	Africa
2022-04-03	Malawi	85657	7.0	2626.0		80666.0	12.0	2365.0	67.0	4284.0	131.0	562989.0	28155.0	19996009.0	Africa
2022-04-04	Malawi	85664	7.0	2626.0		80672.0	6.0	2366.0	67.0	4284.0	131.0	563134.0	28160.0	19997364.0	Africa
2022-04-05	Malawi	85664		2626.0		80795.0	123.0	2243.0	67.0	4283.0	131.0	563432.0	28173.0	19998719.0	Africa
2022-04-06	Malawi	85667	3.0	2626.0		80810.0	15.0	2231.0	67.0	4283.0	131.0	563689.0	28184.0	20000074.0	Africa
2022-04-07	Malawi	85676	9.0	2627.0	1.0	80823.0	13.0	2226.0	67.0	4283.0	131.0	564374.0	28217.0	20001429.0	Africa
2022-04-08	Malawi	85683	7.0	2628.0	1.0	81226.0	403.0	1829.0	67.0	4284.0	131.0	564990.0	28246.0	20002784.0	Africa
2022-04-09	Malawi	85694	11.0	2628.0		81334.0	108.0	1732.0	67.0	4284.0	131.0	565767.0	28282.0	20004139.0	Africa
2022-04-10	Malawi	85702	8.0	2628.0		81340.0	6.0	1734.0	67.0	4284.0	131.0	566101.0	28297.0	20005494.0	Africa
2022-04-11	Malawi	85703	1.0	2628.0		81385.0	45.0	1690.0	67.0	4284.0	131.0	566331.0	28307.0	20006849.0	Africa
2022-04-12	Malawi	85705	2.0	2628.0		81489.0	104.0	1588.0	67.0	4283.0	131.0	566543.0	28316.0	20008204.0	Africa
2022-04-13	Malawi	85707	2.0	2628.0		81660.0	171.0	1419.0	67.0	4284.0	131.0	567114.0	28344.0	20008204.0	Africa
2022-04-14	Malawi	85713	6.0	2628.0		81889.0	229.0	1196.0	67.0	4284.0	131.0	567431.0	28360.0	20008204.0	Africa
