Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Maldives	176993		298.0		163687.0		13008.0	25.0	317645.0	535.0	2213831.0	3973107.0	557204.0	Asia
2022-04-03	Maldives	176993		298.0		163687.0		13008.0	25.0	317630.0	535.0	2213831.0	3972921.0	557230.0	Asia
2022-04-04	Maldives	176993		298.0		163687.0		13008.0	25.0	317615.0	535.0	2213831.0	3972736.0	557256.0	Asia
2022-04-05	Maldives	176993		298.0		163687.0		13008.0	25.0	317600.0	535.0	2213831.0	3972551.0	557282.0	Asia
2022-04-06	Maldives	176993		298.0		163687.0		13008.0	25.0	317586.0	535.0	2213831.0	3972365.0	557308.0	Asia
2022-04-07	Maldives	177658		298.0		163687.0		13673.0	25.0	318764.0	535.0	2213831.0	3972180.0	557334.0	Asia
2022-04-08	Maldives	177658		298.0		163687.0		13673.0	25.0	318749.0	535.0	2213831.0	3971995.0	557360.0	Asia
2022-04-09	Maldives	177658		298.0		163687.0		13673.0	25.0	318734.0	535.0	2213831.0	3971809.0	557386.0	Asia
2022-04-10	Maldives	177658		298.0		163687.0		13673.0	25.0	318719.0	535.0	2213831.0	3971617.0	557413.0	Asia
2022-04-11	Maldives	177658		298.0		163687.0		13673.0	25.0	318704.0	535.0	2213831.0	3971432.0	557439.0	Asia
2022-04-12	Maldives	178313	655.0	298.0		163687.0		14328.0	25.0	319864.0	535.0	2213831.0	3971247.0	557465.0	Asia
2022-04-13	Maldives	178313		298.0		163687.0		14328.0	25.0	319864.0	535.0	2213831.0	3971247.0	557465.0	Asia
2022-04-14	Maldives	178313		298.0		163687.0		14328.0	25.0	319864.0	535.0	2213831.0	3971247.0	557465.0	Asia
