Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Malta	80198	659.0	638.0		73194.0	329.0	6366.0	4.0	180788.0	1438.0	1807898.0	4075496.0	443602.0	Europe
2022-04-03	Malta	80989	791.0	639.0	1.0	73459.0	265.0	6891.0	4.0	182570.0	1440.0	1811168.0	4082839.0	443605.0	Europe
2022-04-04	Malta	81596	607.0	641.0	2.0	73649.0	190.0	7306.0	4.0	183937.0	1445.0	1814298.0	4089868.0	443608.0	Europe
2022-04-05	Malta	82126	530.0	644.0	3.0	73898.0	249.0	7584.0	4.0	185131.0	1452.0	1817184.0	4096346.0	443611.0	Europe
2022-04-06	Malta	82845	719.0	649.0	5.0	74227.0	329.0	7969.0	4.0	186750.0	1463.0	1820830.0	4104537.0	443614.0	Europe
2022-04-07	Malta	83667	822.0	650.0	1.0	74592.0	365.0	8425.0	4.0	188601.0	1465.0	1824560.0	4112908.0	443618.0	Europe
2022-04-08	Malta	84398	731.0	652.0	2.0	74993.0	401.0	8753.0	4.0	190248.0	1470.0	1828355.0	4121435.0	443621.0	Europe
2022-04-09	Malta	85057	659.0	656.0	4.0	75413.0	420.0	8988.0	4.0	191732.0	1479.0	1832027.0	4129684.0	443624.0	Europe
2022-04-10	Malta	85620	563.0	659.0	3.0	75744.0	331.0	9217.0	4.0	193000.0	1485.0	1835249.0	4136919.0	443627.0	Europe
2022-04-11	Malta	86162	542.0	662.0	3.0	76061.0	317.0	9439.0	4.0	194220.0	1492.0	1838360.0	4143904.0	443630.0	Europe
2022-04-12	Malta	86595	433.0	664.0	2.0	76401.0	340.0	9530.0	4.0	195195.0	1497.0	1841246.0	4150372.0	443634.0	Europe
2022-04-13	Malta	87033	438.0	667.0	3.0	76991.0	590.0	9375.0	4.0	196182.0	1503.0	1844390.0	4157459.0	443634.0	Europe
2022-04-14	Malta	87441	408.0	669.0	2.0	77693.0	702.0	9079.0	4.0	197102.0	1508.0	1847584.0	4164658.0	443634.0	Europe
