Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Marshall Islands	7				7.0		0.0		117.0				59889.0	Australia/Oceania
2022-04-03	Marshall Islands	7				7.0		0.0		117.0				59890.0	Australia/Oceania
2022-04-04	Marshall Islands	7				7.0		0.0		117.0				59891.0	Australia/Oceania
2022-04-05	Marshall Islands	7				7.0		0.0		117.0				59892.0	Australia/Oceania
2022-04-06	Marshall Islands	7				7.0		0.0		117.0				59894.0	Australia/Oceania
2022-04-07	Marshall Islands	7				7.0		0.0		117.0				59895.0	Australia/Oceania
2022-04-08	Marshall Islands	7				7.0		0.0		117.0				59896.0	Australia/Oceania
2022-04-09	Marshall Islands	7				7.0		0.0		117.0				59897.0	Australia/Oceania
2022-04-10	Marshall Islands	7				7.0		0.0		117.0				59898.0	Australia/Oceania
2022-04-11	Marshall Islands	7				7.0		0.0		117.0				59899.0	Australia/Oceania
2022-04-12	Marshall Islands	7				7.0		0.0		117.0				59900.0	Australia/Oceania
2022-04-13	Marshall Islands	7				7.0		0.0		117.0				59900.0	Australia/Oceania
2022-04-14	Marshall Islands	7				7.0		0.0		117.0				59900.0	Australia/Oceania
