Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Martinique	141415		909.0		104.0		140402.0	8.0	377352.0	2426.0	807954.0	2155947.0	374756.0	North America
2022-04-03	Martinique	141415		909.0		104.0		140402.0	8.0	377353.0	2426.0	807954.0	2155953.0	374755.0	North America
2022-04-04	Martinique	141415		909.0		104.0		140402.0	8.0	377354.0	2426.0	807954.0	2155958.0	374754.0	North America
2022-04-05	Martinique	145047		914.0		104.0		144029.0	8.0	387047.0	2439.0	807954.0	2155964.0	374753.0	North America
2022-04-06	Martinique	147519	2472.0	918.0	4.0	104.0		146497.0	8.0	393644.0	2450.0	828928.0	2211937.0	374752.0	North America
2022-04-07	Martinique	147519		918.0		104.0		146497.0	8.0	393644.0	2450.0	828928.0	2211937.0	374752.0	North America
2022-04-08	Martinique	147519		918.0		104.0		146497.0	8.0	393645.0	2450.0	828928.0	2211943.0	374751.0	North America
2022-04-09	Martinique	147519		918.0		104.0		146497.0	8.0	393646.0	2450.0	828928.0	2211949.0	374750.0	North America
2022-04-10	Martinique	147519		918.0		104.0		146497.0	8.0	393647.0	2450.0	828928.0	2211955.0	374749.0	North America
2022-04-11	Martinique	147519		918.0		104.0		146497.0	8.0	393649.0	2450.0	828928.0	2211961.0	374748.0	North America
2022-04-12	Martinique	147519		918.0		104.0		146497.0	8.0	393649.0	2450.0	828928.0	2211961.0	374748.0	North America
2022-04-13	Martinique	147519		918.0		104.0		146497.0	8.0	393649.0	2450.0	828928.0	2211961.0	374748.0	North America
2022-04-14	Martinique	147519		918.0		104.0		146497.0	8.0	393649.0	2450.0	828928.0	2211961.0	374748.0	North America
