Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Mayotte	36891	146.0	187.0		2964.0		33740.0		129747.0	658.0	176919.0	622231.0	284330.0	Africa
2022-04-03	Mayotte	36891		187.0		2964.0		33740.0		129739.0	658.0	176919.0	622192.0	284348.0	Africa
2022-04-04	Mayotte	36891		187.0		2964.0		33740.0		129731.0	658.0	176919.0	622152.0	284366.0	Africa
2022-04-05	Mayotte	36891		187.0		2964.0		33740.0		129722.0	658.0	176919.0	622113.0	284384.0	Africa
2022-04-06	Mayotte	36891		187.0		2964.0		33740.0		129714.0	658.0	176919.0	622074.0	284402.0	Africa
2022-04-07	Mayotte	36891		187.0		2964.0		33740.0		129706.0	657.0	176919.0	622034.0	284420.0	Africa
2022-04-08	Mayotte	36891		187.0		2964.0		33740.0		129698.0	657.0	176919.0	621995.0	284438.0	Africa
2022-04-09	Mayotte	36958	67.0	187.0		2964.0		33807.0		129925.0	657.0	176919.0	621953.0	284457.0	Africa
2022-04-10	Mayotte	36958		187.0		2964.0		33807.0		129917.0	657.0	176919.0	621914.0	284475.0	Africa
2022-04-11	Mayotte	36958		187.0		2964.0		33807.0		129908.0	657.0	176919.0	621875.0	284493.0	Africa
2022-04-12	Mayotte	36958		187.0		2964.0		33807.0		129900.0	657.0	176919.0	621835.0	284511.0	Africa
2022-04-13	Mayotte	36958		187.0		2964.0		33807.0		129900.0	657.0	176919.0	621835.0	284511.0	Africa
2022-04-14	Mayotte	36958		187.0		2964.0		33807.0		129900.0	657.0	176919.0	621835.0	284511.0	Africa
