Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Mexico	5659535	2458.0	323016.0	68.0	4957809.0	2008.0	378710.0	4798.0	43103.0	2460.0	15570337.0	118582.0	131303955.0	North America
2022-04-03	Mexico	5662073	2538.0	323127.0	111.0	4959965.0	2156.0	378981.0	4798.0	43121.0	2461.0	15582502.0	118672.0	131307654.0	North America
2022-04-04	Mexico	5665376	3303.0	323212.0	85.0	4963000.0	3035.0	379164.0	4798.0	43145.0	2461.0	15595137.0	118765.0	131311353.0	North America
2022-04-05	Mexico	5666215	839.0	323223.0	11.0	4964420.0	1420.0	378572.0	4798.0	43150.0	2461.0	15599685.0	118796.0	131315052.0	North America
2022-04-06	Mexico	5666921	706.0	323235.0	12.0	4965840.0	1420.0	377846.0	4798.0	43154.0	2461.0	15602608.0	118815.0	131318750.0	North America
2022-04-07	Mexico	5671144	4223.0	323318.0	83.0	4970248.0	4408.0	377578.0	4798.0	43185.0	2462.0	15617943.0	118928.0	131322449.0	North America
2022-04-08	Mexico	5683288	12144.0	323403.0	85.0	4982288.0	12040.0	377597.0	4798.0	43276.0	2463.0	15632134.0	119033.0	131326148.0	North America
2022-04-09	Mexico	5715504	32216.0	323508.0	105.0	5014280.0	31992.0	377716.0	4798.0	43520.0	2463.0	15645671.0	119133.0	131329847.0	North America
2022-04-10	Mexico	5719829	4325.0	323595.0	87.0	5018306.0	4026.0	377928.0	4798.0	43552.0	2464.0	15659694.0	119236.0	131333546.0	North America
2022-04-11	Mexico	5722541	2712.0	323720.0	125.0	5021145.0	2839.0	377676.0	4798.0	43571.0	2465.0	15669932.0	119311.0	131337245.0	North America
2022-04-12	Mexico	5723214	281.0	323727.0	2.0	5023414.0	1220.0	376073.0	4798.0	43575.0	2465.0	15675589.0	119350.0	131340943.0	North America
2022-04-13	Mexico	5723862	648.0	323805.0	78.0	5024561.0	1147.0	375496.0	4798.0	43580.0	2465.0	15683615.0	119411.0	131340943.0	North America
2022-04-14	Mexico	5724611	749.0	323848.0	43.0	5025527.0	966.0	375236.0	4798.0	43586.0	2466.0	15691493.0	119471.0	131340943.0	North America
