Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Moldova	513757	315.0	11435.0	4.0	499487.0	326.0	2835.0	59.0	127878.0	2846.0	3157770.0	785994.0	4017550.0	Europe
2022-04-03	Moldova	514014	257.0	11445.0	10.0	499816.0	329.0	2753.0	58.0	127943.0	2849.0	3161148.0	786840.0	4017525.0	Europe
2022-04-04	Moldova	514199	185.0	11446.0	1.0	500082.0	266.0	2671.0	56.0	127990.0	2849.0	3163527.0	787437.0	4017499.0	Europe
2022-04-05	Moldova	514222	23.0	11449.0	3.0	500267.0	185.0	2506.0	39.0	127996.0	2850.0	3164561.0	787699.0	4017474.0	Europe
2022-04-06	Moldova	514428	206.0	11452.0	3.0	500531.0	264.0	2445.0	52.0	128048.0	2851.0	3167975.0	788554.0	4017448.0	Europe
2022-04-07	Moldova	514650	222.0	11453.0	1.0	500740.0	209.0	2457.0	54.0	128105.0	2851.0	3172226.0	789617.0	4017423.0	Europe
2022-04-08	Moldova	514882	232.0	11455.0	2.0	501113.0	373.0	2314.0	50.0	128163.0	2851.0	3176024.0	790568.0	4017397.0	Europe
2022-04-09	Moldova	515121	239.0	11460.0	5.0	501392.0	279.0	2269.0	49.0	128223.0	2853.0	3179383.0	791409.0	4017372.0	Europe
2022-04-10	Moldova	515312	191.0	11461.0	1.0	501654.0	262.0	2197.0	40.0	128272.0	2853.0	3182899.0	792289.0	4017346.0	Europe
2022-04-11	Moldova	515445	133.0	11462.0	1.0	501862.0	208.0	2121.0	46.0	128306.0	2853.0	3184739.0	792752.0	4017321.0	Europe
2022-04-12	Moldova	515649	161.0	11471.0	1.0	502191.0	189.0	1987.0	41.0	128357.0	2855.0	3188832.0	793776.0	4017295.0	Europe
2022-04-13	Moldova	515804	155.0	11474.0	3.0	502452.0	261.0	1878.0	47.0	128396.0	2856.0	3192777.0	794758.0	4017295.0	Europe
2022-04-14	Moldova	515804		11474.0		502452.0		1878.0	47.0	128396.0	2856.0	3192777.0	794758.0	4017295.0	Europe
