Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Monaco	10790	32.0	54.0		10533.0	98.0	203.0	4.0	271590.0	1359.0	54960.0	1383372.0	39729.0	Europe
2022-04-03	Monaco	10838	48.0	54.0		10571.0	38.0	213.0	4.0	272791.0	1359.0	54960.0	1383338.0	39730.0	Europe
2022-04-04	Monaco	10842	4.0	54.0		10601.0	30.0	187.0	4.0	272885.0	1359.0	54960.0	1383303.0	39731.0	Europe
2022-04-05	Monaco	10872	30.0	54.0		10668.0	67.0	150.0	4.0	273640.0	1359.0	54960.0	1383303.0	39731.0	Europe
2022-04-06	Monaco	10943	71.0	54.0		10696.0	28.0	193.0	4.0	275420.0	1359.0	54960.0	1383268.0	39732.0	Europe
2022-04-07	Monaco	11019	76.0	54.0		10723.0	27.0	242.0	4.0	277326.0	1359.0	54960.0	1383233.0	39733.0	Europe
2022-04-08	Monaco	11070	51.0	54.0		10757.0	34.0	259.0	4.0	278603.0	1359.0	54960.0	1383198.0	39734.0	Europe
2022-04-09	Monaco	11127	57.0	54.0		10802.0	45.0	271.0	4.0	280037.0	1359.0	54960.0	1383198.0	39734.0	Europe
2022-04-10	Monaco	11152	25.0	54.0		10830.0	28.0	268.0	4.0	280659.0	1359.0	54960.0	1383163.0	39735.0	Europe
2022-04-11	Monaco	11152		54.0		10896.0	66.0	202.0	4.0	280652.0	1359.0	54960.0	1383129.0	39736.0	Europe
2022-04-12	Monaco	11194	42.0	54.0		10946.0	50.0	194.0	4.0	281702.0	1359.0	54960.0	1383094.0	39737.0	Europe
2022-04-13	Monaco	11261	67.0	54.0		10990.0	44.0	217.0	4.0	283388.0	1359.0	54960.0	1383094.0	39737.0	Europe
2022-04-14	Monaco	11299	38.0	54.0		11018.0	28.0	227.0	4.0	284345.0	1359.0	54960.0	1383094.0	39737.0	Europe
