Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Mongolia	468462	127.0	2177.0		313256.0		153029.0	192.0	138981.0	646.0	4030048.0	1195618.0	3370682.0	Asia
2022-04-03	Mongolia	468545	83.0	2177.0		313256.0		153112.0	192.0	139000.0	646.0	4030048.0	1195567.0	3370826.0	Asia
2022-04-04	Mongolia	468610	65.0	2177.0		313256.0		153177.0	192.0	139013.0	646.0	4030048.0	1195515.0	3370971.0	Asia
2022-04-05	Mongolia	468691	81.0	2177.0		313256.0		153258.0	192.0	139031.0	646.0	4030048.0	1195464.0	3371115.0	Asia
2022-04-06	Mongolia	468772	81.0	2177.0		313256.0		153339.0	192.0	139050.0	646.0	4030048.0	1195413.0	3371259.0	Asia
2022-04-07	Mongolia	468859	87.0	2177.0		313256.0		153426.0	192.0	139069.0	646.0	4030048.0	1195362.0	3371404.0	Asia
2022-04-08	Mongolia	468931	72.0	2177.0		313256.0		153498.0	192.0	139085.0	646.0	4030048.0	1195311.0	3371548.0	Asia
2022-04-09	Mongolia	469017	86.0	2177.0		313256.0		153584.0	192.0	139104.0	646.0	4030048.0	1195260.0	3371692.0	Asia
2022-04-10	Mongolia	469084	67.0	2177.0		313256.0		153651.0	192.0	139118.0	646.0	4030048.0	1195208.0	3371837.0	Asia
2022-04-11	Mongolia	469136	52.0	2177.0		313256.0		153703.0	192.0	139128.0	646.0	4030048.0	1195157.0	3371981.0	Asia
2022-04-12	Mongolia	469151	15.0	2177.0		313256.0		153718.0	192.0	139126.0	646.0	4030048.0	1195106.0	3372126.0	Asia
2022-04-13	Mongolia	469191	40.0	2177.0		313256.0		153758.0	192.0	139138.0	646.0	4030048.0	1195106.0	3372126.0	Asia
2022-04-14	Mongolia	469236	45.0	2177.0		313256.0		153803.0	192.0	139151.0	646.0	4030048.0	1195106.0	3372126.0	Asia
