Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Morocco	1163359	85.0	16060.0		1146611.0	48.0	688.0	293.0	30878.0	426.0	11237010.0	298251.0	37676342.0	Africa
2022-04-03	Morocco	1163472	113.0	16060.0		1146666.0	55.0	746.0	293.0	30880.0	426.0	11237010.0	298242.0	37677537.0	Africa
2022-04-04	Morocco	1163526	54.0	16060.0		1146704.0	38.0	762.0	293.0	30880.0	426.0	11237010.0	298232.0	37678732.0	Africa
2022-04-05	Morocco	1163561	35.0	16060.0		1146797.0	93.0	704.0	293.0	30880.0	426.0	11237010.0	298223.0	37679927.0	Africa
2022-04-06	Morocco	1163656	95.0	16061.0	1.0	1146888.0	91.0	707.0	293.0	30882.0	426.0	11237010.0	298213.0	37681122.0	Africa
2022-04-07	Morocco	1163726	70.0	16061.0		1146942.0	54.0	723.0	293.0	30883.0	426.0	11237010.0	298204.0	37682317.0	Africa
2022-04-08	Morocco	1163806	80.0	16061.0		1146993.0	51.0	752.0	293.0	30884.0	426.0	11237010.0	298194.0	37683512.0	Africa
2022-04-09	Morocco	1163888	82.0	16061.0		1147093.0	100.0	734.0	293.0	30885.0	426.0	11237010.0	298185.0	37684707.0	Africa
2022-04-10	Morocco	1163962	74.0	16061.0		1147128.0	35.0	773.0	293.0	30886.0	426.0	11237010.0	298175.0	37685902.0	Africa
2022-04-11	Morocco	1164030	68.0	16061.0		1147180.0	52.0	789.0	293.0	30887.0	426.0	11237010.0	298166.0	37687097.0	Africa
2022-04-12	Morocco	1164135	83.0	16061.0		1147355.0	84.0	719.0	293.0	30889.0	426.0	11237010.0	298157.0	37688292.0	Africa
2022-04-13	Morocco	1164189	54.0	16061.0		1147424.0	69.0	704.0	293.0	30890.0	426.0	11237010.0	298157.0	37688292.0	Africa
2022-04-14	Morocco	1164189		16061.0		1147424.0		704.0	293.0	30890.0	426.0	11237010.0	298157.0	37688292.0	Africa
