Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Mozambique	225261	5.0	2200.0		222998.0		63.0	13.0	6870.0	67.0	1297216.0	39565.0	32787052.0	Africa
2022-04-03	Mozambique	225264	3.0	2200.0		222998.0		66.0	13.0	6870.0	67.0	1297863.0	39582.0	32789454.0	Africa
2022-04-04	Mozambique	225266	2.0	2200.0		222998.0		68.0	13.0	6870.0	67.0	1298341.0	39593.0	32791856.0	Africa
2022-04-05	Mozambique	225267	1.0	2200.0		223016.0	18.0	51.0	13.0	6869.0	67.0	1298630.0	39599.0	32794257.0	Africa
2022-04-06	Mozambique	225268	1.0	2200.0		223021.0	5.0	47.0	13.0	6869.0	67.0	1299144.0	39612.0	32796659.0	Africa
2022-04-07	Mozambique	225272	4.0	2200.0		223021.0		51.0	13.0	6868.0	67.0	1299735.0	39627.0	32799061.0	Africa
2022-04-08	Mozambique	225275	3.0	2200.0		223021.0		54.0	13.0	6868.0	67.0	1300542.0	39649.0	32801463.0	Africa
2022-04-09	Mozambique	225277	2.0	2200.0		223047.0	26.0	30.0	13.0	6867.0	67.0	1301352.0	39671.0	32803865.0	Africa
2022-04-10	Mozambique	225280	3.0	2200.0		223047.0		33.0	13.0	6867.0	67.0	1301946.0	39686.0	32806267.0	Africa
2022-04-11	Mozambique	225293	13.0	2200.0		223047.0		46.0	13.0	6867.0	67.0	1302362.0	39696.0	32808668.0	Africa
2022-04-12	Mozambique	225296	3.0	2200.0		223047.0		49.0	13.0	6866.0	67.0	1302637.0	39701.0	32811070.0	Africa
2022-04-13	Mozambique	225301	5.0	2200.0		223058.0	11.0	43.0	13.0	6867.0	67.0	1303571.0	39730.0	32811070.0	Africa
2022-04-14	Mozambique	225304	3.0	2200.0		223058.0		46.0	13.0	6867.0	67.0	1304157.0	39747.0	32811070.0	Africa
