Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Namibia	157646		4019.0		153069.0		558.0	3.0	60137.0	1533.0	983850.0	375311.0	2621429.0	Africa
2022-04-03	Namibia	157646		4019.0		153069.0		558.0	3.0	60135.0	1533.0	983850.0	375293.0	2621554.0	Africa
2022-04-04	Namibia	157646		4019.0		153069.0		558.0	3.0	60132.0	1533.0	983850.0	375275.0	2621680.0	Africa
2022-04-05	Namibia	157764	118.0	4020.0	1.0	153069.0		675.0	3.0	60174.0	1533.0	986535.0	376281.0	2621806.0	Africa
2022-04-06	Namibia	157776	12.0	4020.0		153069.0		687.0	3.0	60175.0	1533.0	987182.0	376509.0	2621932.0	Africa
2022-04-07	Namibia	157806	30.0	4020.0		153069.0		717.0	3.0	60184.0	1533.0	988005.0	376805.0	2622058.0	Africa
2022-04-08	Namibia	157825	19.0	4020.0		153069.0		736.0	3.0	60188.0	1533.0	988662.0	377038.0	2622184.0	Africa
2022-04-09	Namibia	157841	16.0	4021.0	1.0	153069.0		751.0	3.0	60192.0	1533.0	989425.0	377310.0	2622310.0	Africa
2022-04-10	Namibia	157858	17.0	4021.0		153069.0		768.0		60195.0	1533.0	990120.0	377557.0	2622436.0	Africa
2022-04-11	Namibia	157896	38.0	4021.0		153069.0		806.0		60207.0	1533.0	991139.0	377928.0	2622562.0	Africa
2022-04-12	Namibia	157896		4021.0		153069.0		806.0		60204.0	1533.0	991139.0	377910.0	2622687.0	Africa
2022-04-13	Namibia	157896		4021.0		153069.0		806.0		60204.0	1533.0	991139.0	377910.0	2622687.0	Africa
2022-04-14	Namibia	157896		4021.0		153069.0		806.0		60204.0	1533.0	991139.0	377910.0	2622687.0	Africa
