Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	New Caledonia	60294	12.0	311.0		59727.0	89.0	256.0	9.0	207694.0	1071.0	98964.0	340900.0	290302.0	Australia/Oceania
2022-04-03	New Caledonia	60294		311.0		59727.0		256.0	9.0	207688.0	1071.0	98964.0	340891.0	290310.0	Australia/Oceania
2022-04-04	New Caledonia	60294		311.0		59727.0		256.0	9.0	207683.0	1071.0	98964.0	340883.0	290317.0	Australia/Oceania
2022-04-05	New Caledonia	60327	33.0	311.0		59860.0	133.0	156.0	9.0	207791.0	1071.0	98964.0	340873.0	290325.0	Australia/Oceania
2022-04-06	New Caledonia	60345	18.0	312.0	1.0	59884.0	24.0	149.0	9.0	207848.0	1075.0	98964.0	340865.0	290332.0	Australia/Oceania
2022-04-07	New Caledonia	60356	11.0	312.0		59890.0	6.0	154.0	9.0	207880.0	1075.0	98964.0	340856.0	290340.0	Australia/Oceania
2022-04-08	New Caledonia	60358	2.0	312.0		59894.0	4.0	152.0	9.0	207882.0	1075.0	98964.0	340847.0	290347.0	Australia/Oceania
2022-04-09	New Caledonia	60362	4.0	312.0		59941.0	47.0	109.0	9.0	207890.0	1075.0	98964.0	340838.0	290355.0	Australia/Oceania
2022-04-10	New Caledonia	60362		312.0		59941.0		109.0	9.0	207885.0	1075.0	98964.0	340830.0	290362.0	Australia/Oceania
2022-04-11	New Caledonia	60362		312.0		59941.0		109.0	9.0	207880.0	1074.0	98964.0	340820.0	290370.0	Australia/Oceania
2022-04-12	New Caledonia	60362		312.0		59941.0		109.0	9.0	207875.0	1074.0	98964.0	340812.0	290377.0	Australia/Oceania
2022-04-13	New Caledonia	60385	23.0	312.0		60011.0	70.0	62.0	9.0	207954.0	1074.0	98964.0	340812.0	290377.0	Australia/Oceania
2022-04-14	New Caledonia	60385		312.0		60011.0		62.0	9.0	207954.0	1074.0	98964.0	340812.0	290377.0	Australia/Oceania
