Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	New Zealand	672712	13537.0	314.0	15.0	572912.0	15911.0	99486.0		134486.0	63.0	6922367.0	1383892.0	5002100.0	Australia/Oceania
2022-04-03	New Zealand	684374	11662.0	330.0	16.0	587127.0	14215.0	96917.0		136817.0	66.0	6925857.0	1384590.0	5002100.0	Australia/Oceania
2022-04-04	New Zealand	693219	8845.0	350.0	20.0	597791.0	10664.0	95078.0		138586.0	70.0	6927999.0	1385018.0	5002100.0	Australia/Oceania
2022-04-05	New Zealand	703467	10248.0	363.0	13.0	610315.0	12524.0	92789.0		140634.0	73.0	6929633.0	1385345.0	5002100.0	Australia/Oceania
2022-04-06	New Zealand	717650	14183.0	386.0	23.0	627504.0	17189.0	89760.0		143470.0	77.0	6935598.0	1386537.0	5002100.0	Australia/Oceania
2022-04-07	New Zealand	730285	12635.0	404.0	18.0	643478.0	15974.0	86403.0		145996.0	81.0	6943325.0	1388082.0	5002100.0	Australia/Oceania
2022-04-08	New Zealand	741987	11702.0	426.0	22.0	658762.0	15284.0	82799.0		148335.0	85.0	6946043.0	1388625.0	5002100.0	Australia/Oceania
2022-04-09	New Zealand	751974	9987.0	435.0	9.0	672293.0	13531.0	79246.0		150332.0	87.0	6948958.0	1389208.0	5002100.0	Australia/Oceania
2022-04-10	New Zealand	760540	8566.0	445.0	10.0	683925.0	11632.0	76170.0		152044.0	89.0	6951558.0	1389728.0	5002100.0	Australia/Oceania
2022-04-11	New Zealand	767295	6755.0	457.0	12.0	692751.0	8826.0	74087.0		153395.0	91.0	6951558.0	1389728.0	5002100.0	Australia/Oceania
2022-04-12	New Zealand	786058	11130.0	483.0	14.0	717175.0	14182.0	68400.0		157146.0	97.0	6956253.0	1390667.0	5002100.0	Australia/Oceania
2022-04-13	New Zealand	795606	9548.0	497.0	14.0	729800.0	12625.0	65309.0		159054.0	99.0	6959067.0	1391229.0	5002100.0	Australia/Oceania
2022-04-14	New Zealand	805240	9634.0	514.0	17.0	741486.0	11686.0	63240.0		160980.0	103.0	6964290.0	1392273.0	5002100.0	Australia/Oceania
