Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Nicaragua	18434		224.0		4225.0		13985.0		2726.0	33.0			6762511.0	North America
2022-04-03	Nicaragua	18434		224.0		4225.0		13985.0		2726.0	33.0			6762727.0	North America
2022-04-04	Nicaragua	18434		224.0		4225.0		13985.0		2726.0	33.0			6762942.0	North America
2022-04-05	Nicaragua	18434		224.0		4225.0		13985.0		2726.0	33.0			6763157.0	North America
2022-04-06	Nicaragua	18491	57.0	225.0	1.0	4225.0		14041.0		2734.0	33.0			6763372.0	North America
2022-04-07	Nicaragua	18491		225.0		4225.0		14041.0		2734.0	33.0			6763588.0	North America
2022-04-08	Nicaragua	18491		225.0		4225.0		14041.0		2734.0	33.0			6763803.0	North America
2022-04-09	Nicaragua	18491		225.0		4225.0		14041.0		2734.0	33.0			6764018.0	North America
2022-04-10	Nicaragua	18491		225.0		4225.0		14041.0		2734.0	33.0			6764234.0	North America
2022-04-11	Nicaragua	18491		225.0		4225.0		14041.0		2734.0	33.0			6764449.0	North America
2022-04-12	Nicaragua	18491		225.0		4225.0		14041.0		2733.0	33.0			6764664.0	North America
2022-04-13	Nicaragua	18491		225.0		4225.0		14041.0		2733.0	33.0			6764664.0	North America
2022-04-14	Nicaragua	18491		225.0		4225.0		14041.0		2733.0	33.0			6764664.0	North America
