Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Niger	8801		308.0		8477.0		16.0	1.0	342.0	12.0	240394.0	9340.0	25738714.0	Africa
2022-04-03	Niger	8810	9.0	308.0		8484.0	7.0	18.0	1.0	342.0	12.0	240394.0	9339.0	25741123.0	Africa
2022-04-04	Niger	8811	1.0	308.0		8484.0		19.0	1.0	342.0	12.0	242057.0	9403.0	25743531.0	Africa
2022-04-05	Niger	8811		308.0		8484.0		19.0	1.0	342.0	12.0	242057.0	9402.0	25745940.0	Africa
2022-04-06	Niger	8816	5.0	308.0		8487.0	3.0	21.0	1.0	342.0	12.0	242224.0	9407.0	25748349.0	Africa
2022-04-07	Niger	8822	6.0	308.0		8487.0		27.0	1.0	343.0	12.0	243063.0	9439.0	25750757.0	Africa
2022-04-08	Niger	8822		308.0		8487.0		27.0	1.0	343.0	12.0	243063.0	9438.0	25753166.0	Africa
2022-04-09	Niger	8822		308.0		8487.0		27.0	1.0	343.0	12.0	243063.0	9437.0	25755575.0	Africa
2022-04-10	Niger	8822		308.0		8487.0		27.0	1.0	342.0	12.0	243301.0	9446.0	25757984.0	Africa
2022-04-11	Niger	8838	16.0	308.0		8487.0		43.0	1.0	343.0	12.0	243301.0	9445.0	25760392.0	Africa
2022-04-12	Niger	8846	8.0	308.0		8488.0	1.0	50.0	1.0	343.0	12.0	244837.0	9504.0	25762801.0	Africa
2022-04-13	Niger	8846		308.0		8488.0		50.0	1.0	343.0	12.0	244837.0	9504.0	25762801.0	Africa
2022-04-14	Niger	8846		308.0		8488.0		50.0	1.0	343.0	12.0	244837.0	9504.0	25762801.0	Africa
