Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Nigeria	255468	53.0	3142.0		249612.0	6.0	2714.0	11.0	1188.0	15.0	4841764.0	22512.0	215077352.0	Africa
2022-04-03	Nigeria	255468		3142.0		249612.0		2714.0	11.0	1188.0	15.0	4841764.0	22510.0	215091354.0	Africa
2022-04-04	Nigeria	255468		3142.0		249612.0		2714.0	11.0	1188.0	15.0	4841764.0	22509.0	215105356.0	Africa
2022-04-05	Nigeria	255468		3142.0		249612.0		2714.0	11.0	1188.0	15.0	4841764.0	22507.0	215119357.0	Africa
2022-04-06	Nigeria	255516	48.0	3142.0		249674.0	62.0	2700.0	11.0	1188.0	15.0	4906535.0	22807.0	215133359.0	Africa
2022-04-07	Nigeria	255516		3142.0		249674.0		2700.0	11.0	1188.0	15.0	4906535.0	22805.0	215147361.0	Africa
2022-04-08	Nigeria	255575	59.0	3142.0		249686.0	12.0	2747.0	11.0	1188.0	15.0	4906535.0	22804.0	215161363.0	Africa
2022-04-09	Nigeria	255575		3142.0		249686.0		2747.0	11.0	1188.0	15.0	4906535.0	22802.0	215175364.0	Africa
2022-04-10	Nigeria	255606	31.0	3142.0		249718.0	32.0	2746.0	11.0	1188.0	15.0	4906535.0	22801.0	215189366.0	Africa
2022-04-11	Nigeria	255606		3142.0		249718.0		2746.0	11.0	1188.0	15.0	4906535.0	22800.0	215203368.0	Africa
2022-04-12	Nigeria	255633		3142.0		249825.0		2666.0	11.0	1188.0	15.0	4977858.0	23129.0	215217370.0	Africa
2022-04-13	Nigeria	255633		3142.0		249825.0		2666.0	11.0	1188.0	15.0	4977858.0	23129.0	215217370.0	Africa
2022-04-14	Nigeria	255633		3142.0		249825.0		2666.0	11.0	1188.0	15.0	4977858.0	23129.0	215217370.0	Africa
