Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Niue	7				1.0		6.0		4255.0				1645.0	Australia/Oceania
2022-04-03	Niue	7				1.0		6.0		4255.0				1645.0	Australia/Oceania
2022-04-04	Niue	7				1.0		6.0		4255.0				1645.0	Australia/Oceania
2022-04-05	Niue	7				1.0		6.0		4255.0				1645.0	Australia/Oceania
2022-04-06	Niue	7				1.0		6.0		4255.0				1645.0	Australia/Oceania
2022-04-07	Niue	7				5.0	4.0	2.0		4255.0				1645.0	Australia/Oceania
2022-04-08	Niue	7				5.0		2.0		4255.0				1645.0	Australia/Oceania
2022-04-09	Niue	7				5.0		2.0		4255.0				1645.0	Australia/Oceania
2022-04-10	Niue	7				5.0		2.0		4253.0				1646.0	Australia/Oceania
2022-04-11	Niue	7				5.0		2.0		4253.0				1646.0	Australia/Oceania
2022-04-12	Niue	7				7.0	2.0	0.0		4253.0				1646.0	Australia/Oceania
2022-04-13	Niue	7				7.0		0.0		4253.0				1646.0	Australia/Oceania
2022-04-14	Niue	7				7.0		0.0		4253.0				1646.0	Australia/Oceania
