Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	North Macedonia	306178	199.0	9226.0	5.0	295237.0	249.0	1715.0		146973.0	4429.0	1960264.0	940976.0	2083224.0	Europe
2022-04-03	North Macedonia	306474	296.0	9226.0		295434.0	197.0	1814.0		147115.0	4429.0	1960264.0	940976.0	2083224.0	Europe
2022-04-04	North Macedonia	306670	196.0	9228.0	2.0	295457.0	23.0	1985.0		147209.0	4430.0	1960264.0	940976.0	2083224.0	Europe
2022-04-05	North Macedonia	306711	41.0	9231.0	3.0	295914.0	457.0	1566.0		147229.0	4431.0	1960264.0	940976.0	2083224.0	Europe
2022-04-06	North Macedonia	306947	236.0	9231.0		296166.0	252.0	1550.0		147342.0	4431.0	1960264.0	940977.0	2083223.0	Europe
2022-04-07	North Macedonia	307142	195.0	9234.0	3.0	296373.0	207.0	1535.0		147436.0	4433.0	1974520.0	947820.0	2083223.0	Europe
2022-04-08	North Macedonia	307344	202.0	9236.0	2.0	296574.0	201.0	1534.0		147533.0	4434.0	1976805.0	948917.0	2083223.0	Europe
2022-04-09	North Macedonia	307507	163.0	9240.0	4.0	296833.0	259.0	1434.0		147611.0	4435.0	1976805.0	948917.0	2083223.0	Europe
2022-04-10	North Macedonia	307654	147.0	9244.0	4.0	297059.0	226.0	1351.0		147682.0	4437.0	1976805.0	948917.0	2083222.0	Europe
2022-04-11	North Macedonia	307794	140.0	9251.0	7.0	297164.0	105.0	1379.0		147749.0	4441.0	1976805.0	948917.0	2083222.0	Europe
2022-04-12	North Macedonia	307817	23.0	9252.0	1.0	297354.0	190.0	1211.0		147760.0	4441.0	1984493.0	952608.0	2083222.0	Europe
2022-04-13	North Macedonia	307967	150.0	9256.0	4.0	297600.0	246.0	1111.0		147832.0	4443.0	1984493.0	952608.0	2083222.0	Europe
2022-04-14	North Macedonia	308152	185.0	9256.0		297724.0	124.0	1172.0		147921.0	4443.0	1988999.0	954771.0	2083222.0	Europe
