Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Norway	1407422	1462.0	2518.0					20.0	256107.0	458.0	11002430.0	2002098.0	5495449.0	Europe
2022-04-03	Norway	1408257	835.0	2518.0					20.0	256253.0	458.0	11002430.0	2002056.0	5495565.0	Europe
2022-04-04	Norway	1408708	451.0	2518.0					20.0	256330.0	458.0	11002430.0	2002014.0	5495680.0	Europe
2022-04-05	Norway	1410051	1343.0	2518.0					20.0	256569.0	458.0	11002430.0	2001972.0	5495796.0	Europe
2022-04-06	Norway	1411550	1499.0	2667.0	21.0				20.0	256836.0	485.0	11002430.0	2001930.0	5495912.0	Europe
2022-04-07	Norway	1412969	1419.0	2667.0					20.0	257089.0	485.0	11002430.0	2001888.0	5496027.0	Europe
2022-04-08	Norway	1413957	988.0	2667.0					20.0	257264.0	485.0	11002430.0	2001846.0	5496143.0	Europe
2022-04-09	Norway	1414993	1036.0	2667.0					20.0	257447.0	485.0	11002430.0	2001803.0	5496259.0	Europe
2022-04-10	Norway	1415609	616.0	2667.0					20.0	257553.0	485.0	11002430.0	2001762.0	5496374.0	Europe
2022-04-11	Norway	1415928	319.0	2667.0					20.0	257606.0	485.0	11002430.0	2001719.0	5496490.0	Europe
2022-04-12	Norway	1416712	784.0	2768.0	18.0				20.0	257743.0	504.0	11002430.0	2001677.0	5496606.0	Europe
2022-04-13	Norway	1417631	919.0	2783.0	15.0				20.0	257910.0	506.0	11002430.0	2001677.0	5496606.0	Europe
2022-04-14	Norway	1418431	800.0	2783.0					20.0	258056.0	506.0	11002430.0	2001677.0	5496606.0	Europe
