Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Pakistan	1524973	180.0	30359.0	4.0	1485924.0	189.0	8690.0	403.0	6677.0	133.0	27501885.0	120412.0	228397520.0	Asia
2022-04-03	Pakistan	1525181	208.0	30360.0	1.0	1485996.0	72.0	8825.0	374.0	6677.0	133.0	27531061.0	120534.0	228409259.0	Asia
2022-04-04	Pakistan	1525466	285.0	30361.0	1.0	1486113.0	117.0	8992.0	365.0	6678.0	133.0	27561228.0	120660.0	228420997.0	Asia
2022-04-05	Pakistan	1525620	154.0	30361.0		1486191.0	78.0	9068.0	320.0	6679.0	133.0	27584493.0	120755.0	228432735.0	Asia
2022-04-06	Pakistan	1525775	155.0	30361.0		1486252.0	61.0	9162.0	321.0	6679.0	133.0	27607487.0	120850.0	228444473.0	Asia
2022-04-07	Pakistan	1525923	148.0	30361.0		1486464.0	212.0	9098.0	310.0	6679.0	133.0	27633900.0	120959.0	228456212.0	Asia
2022-04-08	Pakistan	1526093	170.0	30361.0		1486534.0	70.0	9198.0	291.0	6680.0	133.0	27662867.0	121080.0	228467950.0	Asia
2022-04-09	Pakistan	1526234	141.0	30361.0		1486650.0	116.0	9223.0	280.0	6680.0	133.0	27689870.0	121192.0	228479688.0	Asia
2022-04-10	Pakistan	1526472	238.0	30361.0		1486729.0	79.0	9382.0	272.0	6681.0	133.0	27715253.0	121297.0	228491427.0	Asia
2022-04-11	Pakistan	1526568	96.0	30361.0		1486820.0	91.0	9387.0	273.0	6681.0	133.0	27740595.0	121401.0	228503165.0	Asia
2022-04-12	Pakistan	1526728	62.0	30362.0	1.0	1486960.0	81.0	9406.0	269.0	6681.0	133.0	27784557.0	121588.0	228514903.0	Asia
2022-04-13	Pakistan	1526829	101.0	30362.0		1487073.0	113.0	9394.0	262.0	6682.0	133.0	27805841.0	121681.0	228514903.0	Asia
2022-04-14	Pakistan	1526829		30362.0		1487073.0		9394.0	262.0	6682.0	133.0	27805841.0	121681.0	228514903.0	Asia
