Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Palau	4042	7.0	6.0		3721.0	10.0	315.0		221540.0	329.0	41052.0	2250041.0	18245.0	Australia/Oceania
2022-04-03	Palau	4042		6.0		3721.0		315.0		221540.0	329.0	41052.0	2250041.0	18245.0	Australia/Oceania
2022-04-04	Palau	4042		6.0		3721.0		315.0		221540.0	329.0	41052.0	2250041.0	18245.0	Australia/Oceania
2022-04-05	Palau	4042		6.0		3721.0		315.0		221528.0	329.0	41052.0	2249918.0	18246.0	Australia/Oceania
2022-04-06	Palau	4070	28.0	6.0		3732.0	11.0	332.0		223063.0	329.0	41281.0	2262468.0	18246.0	Australia/Oceania
2022-04-07	Palau	4070		6.0		3732.0		332.0		223063.0	329.0	41281.0	2262468.0	18246.0	Australia/Oceania
2022-04-08	Palau	4070		6.0		3732.0		332.0		223063.0	329.0	41281.0	2262468.0	18246.0	Australia/Oceania
2022-04-09	Palau	4098	28.0	6.0		3785.0	53.0	307.0		224585.0	329.0	42036.0	2303721.0	18247.0	Australia/Oceania
2022-04-10	Palau	4098		6.0		3785.0		307.0		224585.0	329.0	42036.0	2303721.0	18247.0	Australia/Oceania
2022-04-11	Palau	4098		6.0		3785.0		307.0		224585.0	329.0	42036.0	2303721.0	18247.0	Australia/Oceania
2022-04-12	Palau	4098		6.0		3785.0		307.0		224585.0	329.0	42036.0	2303721.0	18247.0	Australia/Oceania
2022-04-13	Palau	4122	24.0	6.0		3803.0	18.0	313.0		225900.0	329.0	42138.0	2309311.0	18247.0	Australia/Oceania
2022-04-14	Palau	4122		6.0		3803.0		313.0		225900.0	329.0	42138.0	2309311.0	18247.0	Australia/Oceania
