Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Palestine	581075		5351.0		574674.0		1050.0	17.0	109453.0	1008.0	3078533.0	579883.0	5308883.0	Asia
2022-04-03	Palestine	581075		5351.0		574674.0		1050.0	17.0	109447.0	1008.0	3078533.0	579848.0	5309208.0	Asia
2022-04-04	Palestine	581236	161.0	5351.0		575095.0	421.0	790.0	17.0	109470.0	1008.0	3078533.0	579812.0	5309533.0	Asia
2022-04-05	Palestine	581236		5351.0		575095.0		790.0	17.0	109464.0	1008.0	3078533.0	579777.0	5309858.0	Asia
2022-04-06	Palestine	581467	231.0	5351.0		575095.0		1021.0	17.0	109500.0	1008.0	3078533.0	579741.0	5310183.0	Asia
2022-04-07	Palestine	581467		5351.0		575095.0		1021.0	17.0	109494.0	1008.0	3078533.0	579706.0	5310507.0	Asia
2022-04-08	Palestine	581467		5351.0		575095.0		1021.0	17.0	109487.0	1008.0	3078533.0	579671.0	5310832.0	Asia
2022-04-09	Palestine	581467		5351.0		575095.0		1021.0	17.0	109480.0	1008.0	3078533.0	579635.0	5311157.0	Asia
2022-04-10	Palestine	581467		5351.0		575095.0		1021.0	17.0	109474.0	1007.0	3078533.0	579600.0	5311482.0	Asia
2022-04-11	Palestine	581678	211.0	5352.0	1.0	575613.0	518.0	713.0	17.0	109507.0	1008.0	3078533.0	579564.0	5311807.0	Asia
2022-04-12	Palestine	581678		5352.0		575613.0		713.0	17.0	109500.0	1008.0	3078533.0	579529.0	5312132.0	Asia
2022-04-13	Palestine	581678		5352.0		575613.0		713.0	17.0	109500.0	1008.0	3078533.0	579529.0	5312132.0	Asia
2022-04-14	Palestine	581678		5352.0		575613.0		713.0	17.0	109500.0	1008.0	3078533.0	579529.0	5312132.0	Asia
