Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Paraguay	648353	403.0	18731.0		624673.0		4949.0	8.0	88987.0	2571.0	2601300.0	357032.0	7285892.0	South America
2022-04-03	Paraguay	648353		18731.0		624673.0		4949.0	8.0	88985.0	2571.0	2601300.0	357021.0	7286131.0	South America
2022-04-04	Paraguay	648353		18731.0		624673.0		4949.0	8.0	88982.0	2571.0	2601300.0	357009.0	7286371.0	South America
2022-04-05	Paraguay	648353		18731.0		624673.0		4949.0	8.0	88979.0	2571.0	2601300.0	356997.0	7286610.0	South America
2022-04-06	Paraguay	648353		18731.0		624673.0		4949.0	8.0	88976.0	2571.0	2601300.0	356986.0	7286849.0	South America
2022-04-07	Paraguay	648353		18731.0		624673.0		4949.0	8.0	88973.0	2570.0	2601300.0	356974.0	7287089.0	South America
2022-04-08	Paraguay	648353		18731.0		624673.0		4949.0	8.0	88970.0	2570.0	2601300.0	356962.0	7287328.0	South America
2022-04-09	Paraguay	648446	93.0	18734.0	3.0	624673.0		5039.0	3.0	88980.0	2571.0	2615453.0	358892.0	7287567.0	South America
2022-04-10	Paraguay	648446		18734.0		624673.0		5039.0	3.0	88977.0	2571.0	2615453.0	358881.0	7287807.0	South America
2022-04-11	Paraguay	648446		18734.0		624673.0		5039.0	3.0	88974.0	2571.0	2615453.0	358869.0	7288046.0	South America
2022-04-12	Paraguay	648446		18734.0		624673.0		5039.0	3.0	88971.0	2570.0	2615453.0	358857.0	7288285.0	South America
2022-04-13	Paraguay	648446		18734.0		624673.0		5039.0	3.0	88971.0	2570.0	2615453.0	358857.0	7288285.0	South America
2022-04-14	Paraguay	648446		18734.0		624673.0		5039.0	3.0	88971.0	2570.0	2615453.0	358857.0	7288285.0	South America
