Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Poland	5966968	4051.0	115247.0	74.0	5329239.0	6172.0	522482.0	268.0	157965.0	3051.0	35695077.0	944963.0	37774045.0	Europe
2022-04-03	Poland	5969064	2096.0	115343.0	96.0	5332177.0	2938.0	521544.0	268.0	158021.0	3054.0	35721287.0	945660.0	37773933.0	Europe
2022-04-04	Poland	5969621	557.0	115345.0	2.0	5333534.0	1357.0	520742.0	268.0	158036.0	3054.0	35732269.0	945953.0	37773820.0	Europe
2022-04-05	Poland	5970107	486.0	115345.0		5333534.0		521228.0	268.0	158049.0	3054.0	35742606.0	946230.0	37773707.0	Europe
2022-04-06	Poland	5971986	1879.0	115395.0	50.0	5333566.0	32.0	523025.0	268.0	158099.0	3055.0	35766808.0	946873.0	37773594.0	Europe
2022-04-07	Poland	5973553	1567.0	115472.0	77.0	5333566.0		524515.0	268.0	158141.0	3057.0	35788005.0	947437.0	37773481.0	Europe
2022-04-08	Poland	5975034	1481.0	115536.0	64.0	5333630.0	64.0	525868.0	268.0	158181.0	3059.0	35808565.0	947984.0	37773368.0	Europe
2022-04-09	Poland	5976359	1325.0	115594.0	58.0	5333693.0	63.0	527072.0	268.0	158217.0	3060.0	35827025.0	948476.0	37773256.0	Europe
2022-04-10	Poland	5977775	1416.0	115635.0	41.0	5333780.0	87.0	528360.0	268.0	158255.0	3061.0	35844896.0	948952.0	37773143.0	Europe
2022-04-11	Poland	5978215	440.0	115635.0		5333737.0		528843.0	268.0	158267.0	3061.0	35853027.0	949170.0	37773030.0	Europe
2022-04-12	Poland	5980217	1620.0	115696.0	61.0	5333816.0	79.0	530705.0	268.0	158320.0	3063.0	35878475.0	949847.0	37772917.0	Europe
2022-04-13	Poland	5981486	1269.0	115736.0	40.0	5333900.0	84.0	531850.0	268.0	158354.0	3064.0	35895344.0	950293.0	37772917.0	Europe
2022-04-14	Poland	5981486		115736.0		5333900.0		531850.0	268.0	158354.0	3064.0	35895344.0	950293.0	37772917.0	Europe
