Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Qatar	361545	130.0	677.0		359712.0	123.0	1156.0	1.0	128764.0	241.0	3410893.0	1214790.0	2807805.0	Asia
2022-04-03	Qatar	361667	122.0	677.0		359841.0	129.0	1149.0	1.0	128808.0	241.0	3411834.0	1215125.0	2807805.0	Asia
2022-04-04	Qatar	361819	152.0	677.0		359958.0	117.0	1184.0	1.0	128862.0	241.0	3412599.0	1215397.0	2807805.0	Asia
2022-04-05	Qatar	362007	188.0	677.0		360062.0	104.0	1268.0	2.0	128929.0	241.0	3413263.0	1215634.0	2807805.0	Asia
2022-04-06	Qatar	362150	143.0	677.0		360177.0	115.0	1296.0	2.0	128980.0	241.0	3413836.0	1215838.0	2807805.0	Asia
2022-04-07	Qatar	362273	123.0	677.0		360311.0	134.0	1285.0	2.0	129024.0	241.0	3414603.0	1216111.0	2807805.0	Asia
2022-04-08	Qatar	362404	131.0	677.0		360439.0	128.0	1288.0	2.0	129070.0	241.0	3415234.0	1216336.0	2807805.0	Asia
2022-04-09	Qatar	362529	125.0	677.0		360575.0	136.0	1277.0	1.0	129115.0	241.0	3415867.0	1216561.0	2807805.0	Asia
2022-04-10	Qatar	362623	94.0	677.0		360728.0	153.0	1218.0	1.0	129148.0	241.0	3416433.0	1216763.0	2807805.0	Asia
2022-04-11	Qatar	362783	160.0	677.0		360875.0	147.0	1231.0	1.0	129205.0	241.0	3417141.0	1217015.0	2807805.0	Asia
2022-04-12	Qatar	362937	154.0	677.0		361013.0	138.0	1247.0	1.0	129260.0	241.0	3417795.0	1217248.0	2807805.0	Asia
2022-04-13	Qatar	363031	94.0	677.0		361138.0	125.0	1216.0	1.0	129294.0	241.0	3418486.0	1217494.0	2807805.0	Asia
2022-04-14	Qatar	363139	108.0	677.0		361291.0	153.0	1171.0	1.0	129332.0	241.0	3419116.0	1217718.0	2807805.0	Asia
