Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Russia	17862089	19164.0	369064.0	342.0	16884785.0	45998.0	608240.0	2300.0	122306.0	2527.0	273400000.0	1872038.0	146044010.0	Europe
2022-04-03	Russia	17880038	17949.0	369404.0	340.0	16929332.0	44547.0	581302.0	2300.0	122429.0	2529.0	273400000.0	1872036.0	146044181.0	Europe
2022-04-04	Russia	17896866	16828.0	369708.0	304.0	16965027.0	35695.0	562131.0	2300.0	122544.0	2531.0	273400000.0	1872034.0	146044351.0	Europe
2022-04-05	Russia	17912157	15291.0	369995.0	287.0	16997877.0	32850.0	544285.0	2300.0	122649.0	2533.0	273400000.0	1872032.0	146044521.0	Europe
2022-04-06	Russia	17926104	13947.0	370311.0	316.0	17035336.0	37459.0	520457.0	2300.0	122744.0	2536.0	273400000.0	1872030.0	146044692.0	Europe
2022-04-07	Russia	17940765	14661.0	370602.0	291.0	17070642.0	35306.0	499521.0	2300.0	122844.0	2538.0	273400000.0	1872028.0	146044862.0	Europe
2022-04-08	Russia	17955120	14355.0	370889.0	287.0	17105946.0	35304.0	478285.0	2300.0	122942.0	2540.0	273400000.0	1872025.0	146045033.0	Europe
2022-04-09	Russia	17969431	14311.0	371169.0	280.0	17143630.0	37684.0	454632.0	2300.0	123040.0	2541.0	273400000.0	1872023.0	146045203.0	Europe
2022-04-10	Russia	17983004	13573.0	371457.0	288.0	17183730.0	40100.0	427817.0	2300.0	123133.0	2543.0	273400000.0	1872021.0	146045373.0	Europe
2022-04-11	Russia	17996060	13056.0	371716.0	259.0	17213102.0	29372.0	411242.0	2300.0	123222.0	2545.0	273400000.0	1872019.0	146045544.0	Europe
2022-04-12	Russia	18018825	10910.0	372245.0	281.0	17271128.0	31271.0	375452.0	2300.0	123378.0	2549.0	273400000.0	1872017.0	146045714.0	Europe
2022-04-13	Russia	18030579	11754.0	372512.0	267.0	17299263.0	28135.0	358804.0	2300.0	123458.0	2551.0	273400000.0	1872017.0	146045714.0	Europe
2022-04-14	Russia	18030579		372512.0		17299263.0		358804.0	2300.0	123458.0	2551.0	273400000.0	1872017.0	146045714.0	Europe
