Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Réunion	336945		709.0		322519.0		13717.0	10.0	371700.0	782.0	1603660.0	1769074.0	906497.0	Africa
2022-04-03	Réunion	336945		709.0		322519.0		13717.0	10.0	371693.0	782.0	1603660.0	1769039.0	906515.0	Africa
2022-04-04	Réunion	336945		709.0		322519.0		13717.0	10.0	371686.0	782.0	1603660.0	1769005.0	906532.0	Africa
2022-04-05	Réunion	336945		709.0		322519.0		13717.0	10.0	371678.0	782.0	1603660.0	1768970.0	906550.0	Africa
2022-04-06	Réunion	347941	10996.0	720.0	11.0	331736.0	9217.0	15485.0	10.0	383801.0	794.0	1603660.0	1768937.0	906567.0	Africa
2022-04-07	Réunion	347941		720.0		331736.0		15485.0	10.0	383793.0	794.0	1603660.0	1768904.0	906584.0	Africa
2022-04-08	Réunion	347941		720.0		331736.0		15485.0	10.0	383786.0	794.0	1603660.0	1768869.0	906602.0	Africa
2022-04-09	Réunion	347941		720.0		331736.0		15485.0	10.0	383779.0	794.0	1603660.0	1768836.0	906619.0	Africa
2022-04-10	Réunion	347941		720.0		331736.0		15485.0	10.0	383771.0	794.0	1603660.0	1768801.0	906637.0	Africa
2022-04-11	Réunion	347941		720.0		331736.0		15485.0	10.0	383764.0	794.0	1603660.0	1768767.0	906654.0	Africa
2022-04-12	Réunion	347941		720.0		331736.0		15485.0	10.0	383756.0	794.0	1603660.0	1768732.0	906672.0	Africa
2022-04-13	Réunion	360445	12504.0	731.0	11.0	342442.0	10706.0	17272.0	10.0	397547.0	806.0	1603660.0	1768732.0	906672.0	Africa
2022-04-14	Réunion	360445		731.0		342442.0		17272.0	10.0	397547.0	806.0	1603660.0	1768732.0	906672.0	Africa
