Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	S. Korea	13375818	280187.0	16590.0	360.0				1299.0	260501.0	323.0	15804065.0	307793.0	51346429.0	Asia
2022-04-03	S. Korea	13639915	264097.0	16929.0	339.0				1165.0	265644.0	330.0	15804065.0	307792.0	51346549.0	Asia
2022-04-04	S. Korea	13874216	234301.0	17235.0	306.0				1128.0	270207.0	336.0	15804065.0	307791.0	51346669.0	Asia
2022-04-05	S. Korea	14001406	127190.0	17453.0	218.0				1108.0	272683.0	340.0	15804065.0	307791.0	51346789.0	Asia
2022-04-06	S. Korea	14267401	265995.0	17662.0	209.0				1108.0	277863.0	344.0	15804065.0	307790.0	51346910.0	Asia
2022-04-07	S. Korea	14553644	286243.0	18033.0	371.0				1128.0	283437.0	351.0	15804065.0	307789.0	51347030.0	Asia
2022-04-08	S. Korea	14778405	224761.0	18381.0	348.0				1116.0	287814.0	358.0	15804065.0	307789.0	51347150.0	Asia
2022-04-09	S. Korea	14983694	205289.0	18754.0	373.0				1093.0	291811.0	365.0	15804065.0	307788.0	51347270.0	Asia
2022-04-10	S. Korea	15169189	185495.0	19092.0	338.0				1099.0	295423.0	372.0	15804065.0	307787.0	51347390.0	Asia
2022-04-11	S. Korea	15333670	164481.0	19421.0	329.0				1114.0	298625.0	378.0	15804065.0	307786.0	51347510.0	Asia
2022-04-12	S. Korea	15635274	210676.0	19850.0	171.0				1005.0	304498.0	387.0	15804065.0	307786.0	51347631.0	Asia
2022-04-13	S. Korea	15830644	195370.0	20034.0	184.0				1014.0	308303.0	390.0	15804065.0	307786.0	51347631.0	Asia
2022-04-14	S. Korea	15979061	148417.0	20352.0	318.0				962.0	311194.0	396.0	15804065.0	307786.0	51347631.0	Asia
