Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Saint Kitts and Nevis	5549		43.0		5506.0		0.0		103030.0	798.0	65141.0	1209495.0	53858.0	North America
2022-04-03	Saint Kitts and Nevis	5549		43.0		5506.0		0.0		103028.0	798.0	65141.0	1209473.0	53859.0	North America
2022-04-04	Saint Kitts and Nevis	5549		43.0		5506.0		0.0		103026.0	798.0	65141.0	1209450.0	53860.0	North America
2022-04-05	Saint Kitts and Nevis	5549		43.0		5506.0		0.0		103024.0	798.0	65141.0	1209428.0	53861.0	North America
2022-04-06	Saint Kitts and Nevis	5550	1.0	43.0		5506.0		1.0		103041.0	798.0	65141.0	1209406.0	53862.0	North America
2022-04-07	Saint Kitts and Nevis	5551	1.0	43.0		5506.0		2.0		103058.0	798.0	65141.0	1209383.0	53863.0	North America
2022-04-08	Saint Kitts and Nevis	5551		43.0		5506.0		2.0		103056.0	798.0	65141.0	1209361.0	53864.0	North America
2022-04-09	Saint Kitts and Nevis	5552	1.0	43.0		5506.0		3.0		103072.0	798.0	65141.0	1209338.0	53865.0	North America
2022-04-10	Saint Kitts and Nevis	5553	1.0	43.0		5506.0		4.0		103089.0	798.0	65141.0	1209316.0	53866.0	North America
2022-04-11	Saint Kitts and Nevis	5554	1.0	43.0		5506.0		5.0		103106.0	798.0	65141.0	1209293.0	53867.0	North America
2022-04-12	Saint Kitts and Nevis	5554		43.0		5507.0	1.0	4.0		103104.0	798.0	65141.0	1209271.0	53868.0	North America
2022-04-13	Saint Kitts and Nevis	5554		43.0		5508.0	1.0	3.0		103104.0	798.0	65141.0	1209271.0	53868.0	North America
2022-04-14	Saint Kitts and Nevis	5554		43.0		5508.0		3.0		103104.0	798.0	65141.0	1209271.0	53868.0	North America
