Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Saint Lucia	22959	6.0	365.0		22567.0	7.0	27.0		124038.0	1972.0	140589.0	759546.0	185096.0	North America
2022-04-03	Saint Lucia	22959		365.0		22567.0		27.0		124036.0	1972.0	140589.0	759534.0	185099.0	North America
2022-04-04	Saint Lucia	22964	5.0	365.0		22580.0	13.0	19.0	1.0	124062.0	1972.0	140589.0	759526.0	185101.0	North America
2022-04-05	Saint Lucia	22965	1.0	365.0		22582.0	2.0	18.0	1.0	124066.0	1972.0	140589.0	759518.0	185103.0	North America
2022-04-06	Saint Lucia	22977	12.0	365.0		22589.0	7.0	23.0	1.0	124130.0	1972.0	140625.0	759704.0	185105.0	North America
2022-04-07	Saint Lucia	22991	14.0	365.0		22589.0		37.0	1.0	124203.0	1972.0	140625.0	759692.0	185108.0	North America
2022-04-08	Saint Lucia	22998	7.0	365.0		22601.0	12.0	32.0	1.0	124240.0	1972.0	140771.0	760472.0	185110.0	North America
2022-04-09	Saint Lucia	23010	12.0	365.0		22607.0	6.0	38.0	1.0	124303.0	1972.0	140903.0	761177.0	185112.0	North America
2022-04-10	Saint Lucia	23029	19.0	365.0		22610.0	3.0	54.0	1.0	124404.0	1972.0	141093.0	762191.0	185115.0	North America
2022-04-11	Saint Lucia	23037	8.0	365.0		22612.0	2.0	60.0	1.0	124446.0	1972.0	141215.0	762842.0	185117.0	North America
2022-04-12	Saint Lucia	23045	8.0	365.0		22616.0	4.0	64.0	1.0	124487.0	1972.0	141332.0	763466.0	185119.0	North America
2022-04-13	Saint Lucia	23045		365.0		22616.0		64.0	1.0	124487.0	1972.0	141332.0	763466.0	185119.0	North America
2022-04-14	Saint Lucia	23045		365.0		22616.0		64.0	1.0	124487.0	1972.0	141332.0	763466.0	185119.0	North America
