Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Saint Martin	10107		63.0		1399.0		8645.0	7.0	253817.0	1582.0	112382.0	2822250.0	39820.0	North America
2022-04-03	Saint Martin	10107		63.0		1399.0		8645.0	7.0	253804.0	1582.0	112382.0	2822108.0	39822.0	North America
2022-04-04	Saint Martin	10107		63.0		1399.0		8645.0	7.0	253792.0	1582.0	112382.0	2821967.0	39824.0	North America
2022-04-05	Saint Martin	10107		63.0		1399.0		8645.0	7.0	253785.0	1582.0	112382.0	2821896.0	39825.0	North America
2022-04-06	Saint Martin	10107		63.0		1399.0		8645.0	7.0	253773.0	1582.0	112382.0	2821754.0	39827.0	North America
2022-04-07	Saint Martin	10107		63.0		1399.0		8645.0	7.0	253760.0	1582.0	112382.0	2821612.0	39829.0	North America
2022-04-08	Saint Martin	10176	69.0	63.0		1399.0		8714.0	7.0	255479.0	1582.0	112382.0	2821471.0	39831.0	North America
2022-04-09	Saint Martin	10176		63.0		1399.0		8714.0	7.0	255467.0	1582.0	112382.0	2821329.0	39833.0	North America
2022-04-10	Saint Martin	10176		63.0		1399.0		8714.0	7.0	255460.0	1582.0	112382.0	2821258.0	39834.0	North America
2022-04-11	Saint Martin	10176		63.0		1399.0		8714.0	7.0	255447.0	1581.0	112382.0	2821117.0	39836.0	North America
2022-04-12	Saint Martin	10176		63.0		1399.0		8714.0	7.0	255435.0	1581.0	112382.0	2820975.0	39838.0	North America
2022-04-13	Saint Martin	10176		63.0		1399.0		8714.0	7.0	255435.0	1581.0	112382.0	2820975.0	39838.0	North America
2022-04-14	Saint Martin	10176		63.0		1399.0		8714.0	7.0	255435.0	1581.0	112382.0	2820975.0	39838.0	North America
