Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Saint Pierre Miquelon	1957		1.0		1728.0		228.0	1.0	340703.0	174.0	17516.0	3049443.0	5744.0	North America
2022-04-03	Saint Pierre Miquelon	1957		1.0		1728.0		228.0	1.0	340703.0	174.0	17516.0	3049443.0	5744.0	North America
2022-04-04	Saint Pierre Miquelon	1957		1.0		1728.0		228.0	1.0	340703.0	174.0	17516.0	3049443.0	5744.0	North America
2022-04-05	Saint Pierre Miquelon	1957		1.0		1728.0		228.0	1.0	340703.0	174.0	17516.0	3049443.0	5744.0	North America
2022-04-06	Saint Pierre Miquelon	2236		1.0		1837.0	109.0	398.0	1.0	389276.0	174.0	17516.0	3049443.0	5744.0	North America
2022-04-07	Saint Pierre Miquelon	2236		1.0		1837.0		398.0	1.0	389276.0	174.0	17516.0	3049443.0	5744.0	North America
2022-04-08	Saint Pierre Miquelon	2418		1.0		2256.0		161.0	1.0	420961.0	174.0	22096.0	3846797.0	5744.0	North America
2022-04-09	Saint Pierre Miquelon	2418		1.0		2256.0		161.0	1.0	420961.0	174.0	22645.0	3942375.0	5744.0	North America
2022-04-10	Saint Pierre Miquelon	2509	91.0	1.0		2361.0	105.0	147.0	1.0	436804.0	174.0	22826.0	3973886.0	5744.0	North America
2022-04-11	Saint Pierre Miquelon	2509		1.0		2361.0		147.0	1.0	436804.0	174.0	22826.0	3973886.0	5744.0	North America
2022-04-12	Saint Pierre Miquelon	2509		1.0		2361.0		147.0	1.0	436804.0	174.0	22826.0	3973886.0	5744.0	North America
2022-04-13	Saint Pierre Miquelon	2537	28.0	1.0		2449.0	88.0	87.0	1.0	441678.0	174.0	22941.0	3993907.0	5744.0	North America
2022-04-14	Saint Pierre Miquelon	2537		1.0		2449.0		87.0	1.0	441678.0	174.0	22941.0	3993907.0	5744.0	North America
