Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Samoa	2128	245.0	1.0		634.0	160.0	1493.0		10602.0	5.0			200722.0	Australia/Oceania
2022-04-03	Samoa	2285	157.0	1.0		761.0	127.0	1523.0		11384.0	5.0			200726.0	Australia/Oceania
2022-04-04	Samoa	2285		1.0		761.0		1523.0		11384.0	5.0			200729.0	Australia/Oceania
2022-04-05	Samoa	2622	337.0	2.0	1.0	1039.0	278.0	1581.0		13062.0	10.0			200733.0	Australia/Oceania
2022-04-06	Samoa	2782	160.0	2.0		1039.0		1741.0		13859.0	10.0			200736.0	Australia/Oceania
2022-04-07	Samoa	3057	275.0	3.0	1.0	1471.0	432.0	1583.0		15229.0	15.0			200740.0	Australia/Oceania
2022-04-08	Samoa	3320	263.0	3.0		1605.0	134.0	1712.0		16538.0	15.0			200744.0	Australia/Oceania
2022-04-09	Samoa	3320		3.0		1605.0		1712.0		16538.0	15.0			200747.0	Australia/Oceania
2022-04-10	Samoa	3665	345.0	7.0	4.0	1605.0		2053.0		18256.0	35.0			200751.0	Australia/Oceania
2022-04-11	Samoa	3665		7.0		1605.0		2053.0		18256.0	35.0			200754.0	Australia/Oceania
2022-04-12	Samoa	4092	427.0	9.0	2.0	1605.0		2478.0	3.0	20383.0	45.0	32653.0	162649.0	200758.0	Australia/Oceania
2022-04-13	Samoa	4092		9.0		1605.0		2478.0	3.0	20383.0	45.0	32653.0	162649.0	200758.0	Australia/Oceania
2022-04-14	Samoa	4092		9.0		1605.0		2478.0	3.0	20383.0	45.0	32653.0	162649.0	200758.0	Australia/Oceania
