Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Sao Tome and Principe	5945		73.0		5867.0		5.0		26273.0	323.0	29036.0	128318.0	226281.0	Africa
2022-04-03	Sao Tome and Principe	5945		73.0		5867.0		5.0		26271.0	323.0	29036.0	128312.0	226292.0	Africa
2022-04-04	Sao Tome and Principe	5945		73.0		5867.0		5.0		26270.0	323.0	29036.0	128306.0	226303.0	Africa
2022-04-05	Sao Tome and Principe	5948	3.0	73.0		5872.0	5.0	3.0		26282.0	323.0	29036.0	128300.0	226314.0	Africa
2022-04-06	Sao Tome and Principe	5948		73.0		5872.0		3.0		26281.0	323.0	29036.0	128293.0	226325.0	Africa
2022-04-07	Sao Tome and Principe	5948		73.0		5872.0		3.0		26280.0	323.0	29036.0	128287.0	226336.0	Africa
2022-04-08	Sao Tome and Principe	5948		73.0		5872.0		3.0		26278.0	323.0	29036.0	128281.0	226347.0	Africa
2022-04-09	Sao Tome and Principe	5948		73.0		5872.0		3.0		26277.0	322.0	29036.0	128274.0	226359.0	Africa
2022-04-10	Sao Tome and Principe	5948		73.0		5872.0		3.0		26276.0	322.0	29036.0	128268.0	226370.0	Africa
2022-04-11	Sao Tome and Principe	5948		73.0		5872.0		3.0		26274.0	322.0	29036.0	128262.0	226381.0	Africa
2022-04-12	Sao Tome and Principe	5948		73.0		5872.0		3.0		26273.0	322.0	29036.0	128255.0	226392.0	Africa
2022-04-13	Sao Tome and Principe	5948		73.0		5872.0		3.0		26273.0	322.0	29036.0	128255.0	226392.0	Africa
2022-04-14	Sao Tome and Principe	5948		73.0		5872.0		3.0		26273.0	322.0	29036.0	128255.0	226392.0	Africa
