Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Saudi Arabia	750910	96.0	9046.0	1.0	734547.0	264.0	7317.0	106.0	20997.0	253.0	41558711.0	1162067.0	35762746.0	Asia
2022-04-03	Saudi Arabia	750998	88.0	9047.0	1.0	734820.0	273.0	7131.0	103.0	20999.0	253.0	41568977.0	1162306.0	35764228.0	Asia
2022-04-04	Saudi Arabia	751076	78.0	9048.0	1.0	735105.0	285.0	6923.0	95.0	21000.0	253.0	41579921.0	1162564.0	35765710.0	Asia
2022-04-05	Saudi Arabia	751180	104.0	9050.0	2.0	735401.0	296.0	6729.0	92.0	21002.0	253.0	41592046.0	1162855.0	35767193.0	Asia
2022-04-06	Saudi Arabia	751296	116.0	9050.0		735699.0	298.0	6547.0	90.0	21004.0	253.0	41605651.0	1163187.0	35768675.0	Asia
2022-04-07	Saudi Arabia	751404	108.0	9053.0	3.0	736013.0	314.0	6338.0	84.0	21006.0	253.0	41618512.0	1163498.0	35770157.0	Asia
2022-04-08	Saudi Arabia	751518	114.0	9054.0	1.0	736316.0	303.0	6148.0	88.0	21009.0	253.0	41631441.0	1163811.0	35771640.0	Asia
2022-04-09	Saudi Arabia	751622	104.0	9055.0	1.0	736615.0	299.0	5952.0	87.0	21011.0	253.0	41643842.0	1164110.0	35773122.0	Asia
2022-04-10	Saudi Arabia	751717	95.0	9055.0		736910.0	295.0	5752.0	78.0	21013.0	253.0	41653980.0	1164345.0	35774605.0	Asia
2022-04-11	Saudi Arabia	751813	96.0	9058.0	3.0	737199.0	289.0	5556.0	75.0	21014.0	253.0	41664826.0	1164600.0	35776087.0	Asia
2022-04-12	Saudi Arabia	752078	135.0	9060.0	2.0	737748.0	266.0	5270.0	73.0	21021.0	253.0	41693268.0	1165347.0	35777569.0	Asia
2022-04-13	Saudi Arabia	752188	110.0	9062.0	2.0	738011.0	263.0	5115.0	66.0	21024.0	253.0	41704690.0	1165666.0	35777569.0	Asia
2022-04-14	Saudi Arabia	752188		9062.0		738011.0		5115.0	66.0	21024.0	253.0	41704690.0	1165666.0	35777569.0	Asia
