Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Sierra Leone	7674		125.0						929.0	15.0	259958.0	31469.0	8260822.0	Africa
2022-04-03	Sierra Leone	7674		125.0						929.0	15.0	259958.0	31467.0	8261266.0	Africa
2022-04-04	Sierra Leone	7674		125.0						929.0	15.0	259958.0	31465.0	8261710.0	Africa
2022-04-05	Sierra Leone	7675	1.0	125.0						929.0	15.0	259958.0	31464.0	8262154.0	Africa
2022-04-06	Sierra Leone	7675		125.0						929.0	15.0	259958.0	31462.0	8262598.0	Africa
2022-04-07	Sierra Leone	7675		125.0						929.0	15.0	259958.0	31460.0	8263042.0	Africa
2022-04-08	Sierra Leone	7675		125.0						929.0	15.0	259958.0	31459.0	8263486.0	Africa
2022-04-09	Sierra Leone	7675		125.0						929.0	15.0	259958.0	31457.0	8263930.0	Africa
2022-04-10	Sierra Leone	7677	2.0	125.0						929.0	15.0	259958.0	31455.0	8264374.0	Africa
2022-04-11	Sierra Leone	7677		125.0						929.0	15.0	259958.0	31454.0	8264818.0	Africa
2022-04-12	Sierra Leone	7677		125.0						929.0	15.0	259958.0	31452.0	8265262.0	Africa
2022-04-13	Sierra Leone	7677		125.0						929.0	15.0	259958.0	31452.0	8265262.0	Africa
2022-04-14	Sierra Leone	7677		125.0						929.0	15.0	259958.0	31452.0	8265262.0	Africa
