Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Singapore	1101438	5010.0	1270.0	2.0	1025578.0		74590.0	23.0	185712.0	214.0	23548306.0	3970453.0	5930887.0	Asia
2022-04-03	Singapore	1106001	4563.0	1272.0	2.0	1031320.0	5742.0	73409.0	22.0	186478.0	214.0	23548306.0	3970369.0	5931012.0	Asia
2022-04-04	Singapore	1109744	3743.0	1276.0	4.0	1036932.0	5612.0	71536.0	22.0	187105.0	215.0	23548306.0	3970285.0	5931138.0	Asia
2022-04-05	Singapore	1113078	3334.0	1283.0	7.0	1042087.0	5155.0	69708.0	20.0	187663.0	216.0	23548306.0	3970200.0	5931264.0	Asia
2022-04-06	Singapore	1119419	6341.0	1284.0	1.0	1046731.0	4644.0	71404.0	16.0	188728.0	216.0	23548306.0	3970117.0	5931389.0	Asia
2022-04-07	Singapore	1123886	4467.0	1287.0	3.0	1050649.0	3918.0	71950.0	15.0	189477.0	217.0	23611604.0	3980704.0	5931515.0	Asia
2022-04-08	Singapore	1128155	4269.0	1290.0	3.0	1054244.0	3595.0	72621.0	15.0	190193.0	217.0	23611604.0	3980620.0	5931640.0	Asia
2022-04-09	Singapore	1132169	4014.0	1297.0	7.0	1060505.0	6261.0	70367.0	18.0	190865.0	219.0	23611604.0	3980535.0	5931766.0	Asia
2022-04-10	Singapore	1135428	3259.0	1299.0	2.0	1064944.0	4439.0	69185.0	18.0	191411.0	219.0	23611604.0	3980451.0	5931891.0	Asia
2022-04-11	Singapore	1138001	2573.0	1301.0	2.0	1069285.0	4341.0	67415.0	17.0	191840.0	219.0	23611604.0	3980367.0	5932017.0	Asia
2022-04-12	Singapore	1140569	2568.0	1303.0	2.0	1073473.0	4188.0	65793.0	18.0	192269.0	220.0	23611604.0	3980283.0	5932142.0	Asia
2022-04-13	Singapore	1145121	4552.0	1307.0	4.0	1076802.0	3329.0	67012.0	19.0	193037.0	220.0	23611604.0	3980283.0	5932142.0	Asia
2022-04-14	Singapore	1148656	3535.0	1309.0	2.0	1076802.0		70545.0	13.0	193633.0	221.0	23611604.0	3980283.0	5932142.0	Asia
