Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Sint Maarten	9742	15.0	86.0		9593.0	1.0	63.0	10.0	222786.0	1967.0	62056.0	1419136.0	43728.0	North America
2022-04-03	Sint Maarten	9758	16.0	86.0		9595.0	2.0	77.0	10.0	223147.0	1967.0	62056.0	1419104.0	43729.0	North America
2022-04-04	Sint Maarten	9766	8.0	86.0		9601.0	6.0	79.0	10.0	223320.0	1967.0	62056.0	1419039.0	43731.0	North America
2022-04-05	Sint Maarten	9766		86.0		9601.0		79.0	10.0	223315.0	1967.0	62056.0	1419007.0	43732.0	North America
2022-04-06	Sint Maarten	9787	21.0	86.0		9627.0	26.0	74.0	10.0	223790.0	1966.0	62056.0	1418974.0	43733.0	North America
2022-04-07	Sint Maarten	9803	16.0	86.0		9634.0	7.0	83.0	10.0	224145.0	1966.0	62056.0	1418909.0	43735.0	North America
2022-04-08	Sint Maarten	9833	30.0	86.0		9674.0	40.0	73.0	10.0	224826.0	1966.0	62056.0	1418877.0	43736.0	North America
2022-04-09	Sint Maarten	9833		86.0		9674.0		73.0	10.0	224821.0	1966.0	62056.0	1418844.0	43737.0	North America
2022-04-10	Sint Maarten	9853	20.0	86.0		9682.0	8.0	85.0	10.0	225268.0	1966.0	62056.0	1418780.0	43739.0	North America
2022-04-11	Sint Maarten	9861	8.0	86.0		9689.0	7.0	86.0	10.0	225446.0	1966.0	62056.0	1418747.0	43740.0	North America
2022-04-12	Sint Maarten	9888	15.0	86.0		9734.0	18.0	68.0	10.0	226058.0	1966.0	62056.0	1418715.0	43741.0	North America
2022-04-13	Sint Maarten	9909	21.0	86.0		9740.0	6.0	83.0	10.0	226538.0	1966.0	62056.0	1418715.0	43741.0	North America
2022-04-14	Sint Maarten	9909		86.0		9740.0		83.0	10.0	226538.0	1966.0	62056.0	1418715.0	43741.0	North America
