Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Slovenia	970541	2372.0	6493.0	6.0	925837.0	2995.0	38211.0	44.0	466732.0	3122.0	2616404.0	1258227.0	2079438.0	Europe
2022-04-03	Slovenia	972954	2413.0	6498.0	5.0	929072.0	3235.0	37384.0	39.0	467893.0	3125.0	2617966.0	1258977.0	2079439.0	Europe
2022-04-04	Slovenia	973892	938.0	6501.0	3.0	930589.0	1517.0	36802.0	40.0	468343.0	3126.0	2618646.0	1259303.0	2079440.0	Europe
2022-04-05	Slovenia	974735	843.0	6505.0	4.0	931697.0	1108.0	36533.0	39.0	468749.0	3128.0	2619316.0	1259625.0	2079441.0	Europe
2022-04-06	Slovenia	978171	3436.0	6512.0	7.0	936697.0	5000.0	34962.0	37.0	470401.0	3132.0	2621101.0	1260483.0	2079441.0	Europe
2022-04-07	Slovenia	980677	2506.0	6517.0	5.0	940216.0	3519.0	33944.0	40.0	471606.0	3134.0	2622529.0	1261170.0	2079442.0	Europe
2022-04-08	Slovenia	982978	2301.0	6523.0	6.0	943706.0	3490.0	32749.0	37.0	472712.0	3137.0	2624168.0	1261957.0	2079443.0	Europe
2022-04-09	Slovenia	984880	1902.0	6527.0	4.0	946619.0	2913.0	31734.0	38.0	473627.0	3139.0	2625278.0	1262490.0	2079444.0	Europe
2022-04-10	Slovenia	986742	1862.0	6531.0	4.0	949545.0	2926.0	30666.0	37.0	474522.0	3141.0	2626630.0	1263141.0	2079444.0	Europe
2022-04-11	Slovenia	987542	800.0	6535.0	4.0	950892.0	1347.0	30115.0	42.0	474907.0	3143.0	2627117.0	1263374.0	2079445.0	Europe
2022-04-12	Slovenia	990895	2829.0	6541.0	3.0	956341.0	4499.0	28013.0	32.0	476519.0	3146.0	2629234.0	1264392.0	2079446.0	Europe
2022-04-13	Slovenia	992497	1602.0	6541.0		956341.0		29615.0	32.0	477289.0	3146.0	2630208.0	1264860.0	2079446.0	Europe
2022-04-14	Slovenia	992497		6541.0		956341.0		29615.0	32.0	477289.0	3146.0	2630208.0	1264860.0	2079446.0	Europe
