Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	South Sudan	17278	16.0	138.0		13514.0		3626.0	1.0	1513.0	12.0	361644.0	31658.0	11423439.0	Africa
2022-04-03	South Sudan	17278		138.0		13514.0		3626.0	1.0	1512.0	12.0	361644.0	31657.0	11423798.0	Africa
2022-04-04	South Sudan	17278		138.0		13514.0		3626.0	1.0	1512.0	12.0	361644.0	31656.0	11424156.0	Africa
2022-04-05	South Sudan	17301	23.0	138.0		13514.0		3649.0	1.0	1514.0	12.0	363287.0	31799.0	11424515.0	Africa
2022-04-06	South Sudan	17311	10.0	138.0		13514.0		3659.0	1.0	1515.0	12.0	364018.0	31862.0	11424873.0	Africa
2022-04-07	South Sudan	17311		138.0		13514.0		3659.0	1.0	1515.0	12.0	364018.0	31861.0	11425231.0	Africa
2022-04-08	South Sudan	17311		138.0		13514.0		3659.0	1.0	1515.0	12.0	364018.0	31860.0	11425590.0	Africa
2022-04-09	South Sudan	17333	22.0	138.0		13514.0		3681.0	1.0	1517.0	12.0	364018.0	31859.0	11425948.0	Africa
2022-04-10	South Sudan	17333		138.0		13514.0		3681.0	1.0	1517.0	12.0	364018.0	31858.0	11426307.0	Africa
2022-04-11	South Sudan	17333		138.0		13514.0		3681.0	1.0	1517.0	12.0	364018.0	31857.0	11426665.0	Africa
2022-04-12	South Sudan	17356	3.0	138.0		13514.0		3704.0	1.0	1519.0	12.0	367971.0	32202.0	11427024.0	Africa
2022-04-13	South Sudan	17362	6.0	138.0		13514.0		3710.0	1.0	1519.0	12.0	369176.0	32307.0	11427024.0	Africa
2022-04-14	South Sudan	17362		138.0		13514.0		3710.0	1.0	1519.0	12.0	369176.0	32307.0	11427024.0	Africa
