Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Spain	11551574	14421.0	102541.0	49.0	10918903.0	14591.0	530130.0	420.0	246900.0	2192.0	471036328.0	10067787.0	46786482.0	Europe
2022-04-03	Spain	11551574		102541.0		10918903.0		530130.0	420.0	246900.0	2192.0	471036328.0	10067776.0	46786531.0	Europe
2022-04-04	Spain	11565114	6770.0	102645.0	52.0	10952243.0	18751.0	510226.0	420.0	247189.0	2194.0	471036328.0	10067766.0	46786580.0	Europe
2022-04-05	Spain	11571884	6770.0	102697.0	52.0	10975331.0	23088.0	493856.0	420.0	247333.0	2195.0	471036328.0	10067755.0	46786629.0	Europe
2022-04-06	Spain	11578653	6769.0	102747.0	50.0	10997681.0	22350.0	478225.0	420.0	247478.0	2196.0	471036328.0	10067744.0	46786679.0	Europe
2022-04-07	Spain	11594931	16278.0	102866.0	119.0	11009561.0	11880.0	482504.0	420.0	247825.0	2199.0	471036328.0	10067734.0	46786728.0	Europe
2022-04-08	Spain	11611209	16278.0	102985.0	119.0	11021441.0	11880.0	486783.0	420.0	248173.0	2201.0	471036328.0	10067723.0	46786777.0	Europe
2022-04-09	Spain	11627487	16278.0	103104.0	119.0	11033321.0	11880.0	491062.0	371.0	248521.0	2204.0	471036328.0	10067713.0	46786827.0	Europe
2022-04-10	Spain	11627487		103104.0		11033321.0		491062.0	371.0	248520.0	2204.0	471036328.0	10067702.0	46786876.0	Europe
2022-04-11	Spain	11644851	8682.0	103186.0	41.0	11078324.0	21895.0	463341.0	371.0	248891.0	2205.0	471036328.0	10067692.0	46786925.0	Europe
2022-04-12	Spain	11662214	8681.0	103266.0	39.0	11120708.0	19810.0	438240.0	368.0	249262.0	2207.0	471036328.0	10067681.0	46786975.0	Europe
2022-04-13	Spain	11662214		103266.0		11120708.0		438240.0	368.0	249262.0	2207.0	471036328.0	10067681.0	46786975.0	Europe
2022-04-14	Spain	11662214		103266.0		11120708.0		438240.0	368.0	249262.0	2207.0	471036328.0	10067681.0	46786975.0	Europe
