Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Sri Lanka	661781	150.0	16479.0	2.0	637256.0	16.0	8046.0		30680.0	764.0	6368159.0	295226.0	21570428.0	Asia
2022-04-03	Sri Lanka	661885	104.0	16480.0	1.0	637276.0	20.0	8129.0		30684.0	764.0	6368159.0	295223.0	21570673.0	Asia
2022-04-04	Sri Lanka	661991	106.0	16481.0	1.0	637292.0	16.0	8218.0		30689.0	764.0	6368159.0	295220.0	21570918.0	Asia
2022-04-05	Sri Lanka	662103	112.0	16485.0	4.0	637297.0	5.0	8321.0		30694.0	764.0	6368159.0	295216.0	21571162.0	Asia
2022-04-06	Sri Lanka	662216	113.0	16485.0		637306.0	9.0	8425.0		30699.0	764.0	6368159.0	295213.0	21571407.0	Asia
2022-04-07	Sri Lanka	662342	126.0	16486.0	1.0	642449.0	5143.0	3407.0		30704.0	764.0	6368159.0	295210.0	21571652.0	Asia
2022-04-08	Sri Lanka	662425	83.0	16487.0	1.0	642468.0	19.0	3470.0		30708.0	764.0	6368159.0	295206.0	21571897.0	Asia
2022-04-09	Sri Lanka	662505	80.0	16489.0	2.0	642488.0	20.0	3528.0		30711.0	764.0	6368159.0	295203.0	21572141.0	Asia
2022-04-10	Sri Lanka	662559	54.0	16489.0		642493.0	5.0	3577.0		30713.0	764.0	6368159.0	295200.0	21572386.0	Asia
2022-04-11	Sri Lanka	662592	33.0	16489.0		642500.0	7.0	3603.0		30714.0	764.0	6368159.0	295196.0	21572631.0	Asia
2022-04-12	Sri Lanka	662717	60.0	16492.0		642516.0	8.0	3709.0		30720.0	764.0	6477329.0	300253.0	21572876.0	Asia
2022-04-13	Sri Lanka	662748	31.0	16494.0	2.0	642530.0	14.0	3724.0		30721.0	765.0	6477329.0	300253.0	21572876.0	Asia
2022-04-14	Sri Lanka	662748		16494.0		642530.0		3724.0		30721.0	765.0	6477329.0	300253.0	21572876.0	Asia
