Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	St. Barth	4150		6.0						417925.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-03	St. Barth	4150		6.0						417925.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-04	St. Barth	4150		6.0						417925.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-05	St. Barth	4150		6.0						417925.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-06	St. Barth	4150		6.0						417925.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-07	St. Barth	4150		6.0						417925.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-08	St. Barth	4313	163.0	6.0						434340.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-09	St. Barth	4313		6.0						434340.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-10	St. Barth	4313		6.0						434340.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-11	St. Barth	4313		6.0						434340.0	604.0	78646.0	7920040.0	9930.0	North America
2022-04-12	St. Barth	4313		6.0						434297.0	604.0	78646.0	7919243.0	9931.0	North America
2022-04-13	St. Barth	4313		6.0						434297.0	604.0	78646.0	7919243.0	9931.0	North America
2022-04-14	St. Barth	4313		6.0						434297.0	604.0	78646.0	7919243.0	9931.0	North America
