Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Sweden	2487852		18331.0		2432975.0		36546.0	25.0	243680.0	1795.0	18417910.0	1803996.0	10209507.0	Europe
2022-04-03	Sweden	2487852		18331.0		2435419.0	2444.0	34102.0	25.0	243676.0	1795.0	18417910.0	1803966.0	10209679.0	Europe
2022-04-04	Sweden	2487852		18331.0		2437546.0	2127.0	31975.0	25.0	243672.0	1795.0	18417910.0	1803935.0	10209851.0	Europe
2022-04-05	Sweden	2487852		18331.0		2439419.0	1873.0	30102.0	25.0	243668.0	1795.0	18417910.0	1803905.0	10210023.0	Europe
2022-04-06	Sweden	2491161	1036.0	18472.0		2440686.0	1267.0	32003.0	25.0	243988.0	1809.0	18417910.0	1803875.0	10210194.0	Europe
2022-04-07	Sweden	2491980	819.0	18472.0		2441012.0	326.0	32496.0	25.0	244064.0	1809.0	18417910.0	1803844.0	10210366.0	Europe
2022-04-08	Sweden	2491980		18472.0		2444490.0	3478.0	29018.0	22.0	244060.0	1809.0	18445431.0	1806509.0	10210538.0	Europe
2022-04-09	Sweden	2491980		18472.0		2444490.0		29018.0	22.0	244056.0	1809.0	18445431.0	1806479.0	10210710.0	Europe
2022-04-10	Sweden	2491980		18472.0		2446592.0	2102.0	26916.0	22.0	244051.0	1809.0	18445431.0	1806449.0	10210881.0	Europe
2022-04-11	Sweden	2491980		18472.0		2448211.0	1619.0	25297.0	22.0	244047.0	1809.0	18445431.0	1806418.0	10211053.0	Europe
2022-04-12	Sweden	2491980		18472.0		2450543.0	780.0	22965.0	22.0	244043.0	1809.0	18445431.0	1806388.0	10211225.0	Europe
2022-04-13	Sweden	2491980		18472.0		2450948.0	405.0	22560.0	22.0	244043.0	1809.0	18445431.0	1806388.0	10211225.0	Europe
2022-04-14	Sweden	2491980		18472.0		2451827.0	879.0	21681.0	22.0	244043.0	1809.0	18445431.0	1806388.0	10211225.0	Europe
