Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Switzerland	3490876	5968.0	13715.0	3.0	2825627.0	22386.0	651534.0	136.0	398255.0	1565.0	20324729.0	2318740.0	8765420.0	Europe
2022-04-03	Switzerland	3490876		13715.0		2850404.0	24777.0	626757.0	136.0	398248.0	1565.0	20324729.0	2318694.0	8765593.0	Europe
2022-04-04	Switzerland	3503202	4158.0	13725.0	5.0	2850404.0		639073.0	136.0	399646.0	1566.0	20324729.0	2318649.0	8765765.0	Europe
2022-04-05	Switzerland	3506246	3044.0	13732.0	6.0	2875135.0	24731.0	617379.0	136.0	399985.0	1567.0	20324729.0	2318603.0	8765938.0	Europe
2022-04-06	Switzerland	3512093	5847.0	13740.0	4.0	2916405.0	41270.0	581948.0	136.0	400644.0	1567.0	20400357.0	2327184.0	8766111.0	Europe
2022-04-07	Switzerland	3512093		13745.0	5.0	2930765.0	14360.0	567583.0	132.0	400637.0	1568.0	20400357.0	2327139.0	8766283.0	Europe
2022-04-08	Switzerland	3512093		13749.0	4.0	2965701.0	34936.0	532643.0	113.0	400629.0	1568.0	20400357.0	2327093.0	8766456.0	Europe
2022-04-09	Switzerland	3512093		13752.0	3.0	2996614.0	30913.0	501727.0	113.0	400621.0	1569.0	20400357.0	2327047.0	8766629.0	Europe
2022-04-10	Switzerland	3512093		13752.0		2996614.0		501727.0	113.0	400613.0	1569.0	20400357.0	2327001.0	8766801.0	Europe
2022-04-11	Switzerland	3544301	3698.0	13759.0		3027893.0	31279.0	502649.0	113.0	404279.0	1569.0	20400357.0	2326955.0	8766974.0	Europe
2022-04-12	Switzerland	3551790	4945.0	13767.0	1.0	3105701.0	48147.0	432322.0	103.0	405125.0	1570.0	20548491.0	2343806.0	8767147.0	Europe
2022-04-13	Switzerland	3551790		13767.0		3105701.0		432322.0	103.0	405125.0	1570.0	20548491.0	2343806.0	8767147.0	Europe
2022-04-14	Switzerland	3551790		13767.0		3121637.0	15936.0	416386.0	103.0	405125.0	1570.0	20548491.0	2343806.0	8767147.0	Europe
