Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Syria	55701	6.0	3142.0	1.0	51651.0	63.0	908.0		3053.0	172.0	146269.0	8017.0	18244381.0	Asia
2022-04-03	Syria	55706	5.0	3144.0	2.0	51713.0	62.0	849.0		3053.0	172.0	146269.0	8017.0	18245545.0	Asia
2022-04-04	Syria	55711	5.0	3144.0		51744.0	31.0	823.0		3053.0	172.0	146269.0	8016.0	18246710.0	Asia
2022-04-05	Syria	55718	7.0	3145.0	1.0	51763.0	19.0	810.0		3053.0	172.0	146269.0	8016.0	18247875.0	Asia
2022-04-06	Syria	55723	5.0	3145.0		51783.0	20.0	795.0		3053.0	172.0	146269.0	8015.0	18249040.0	Asia
2022-04-07	Syria	55727	4.0	3145.0		51801.0	18.0	781.0		3053.0	172.0	146269.0	8015.0	18250205.0	Asia
2022-04-08	Syria	55731	4.0	3146.0	1.0	51818.0	17.0	767.0		3054.0	172.0	146269.0	8014.0	18251370.0	Asia
2022-04-09	Syria	55735	4.0	3146.0		51833.0	15.0	756.0		3054.0	172.0	146269.0	8014.0	18252535.0	Asia
2022-04-10	Syria	55739	4.0	3146.0		51847.0	14.0	746.0		3054.0	172.0	146269.0	8013.0	18253700.0	Asia
2022-04-11	Syria	55742	3.0	3146.0		51860.0	13.0	736.0		3054.0	172.0	146269.0	8013.0	18254865.0	Asia
2022-04-12	Syria	55745	3.0	3146.0		51870.0	10.0	729.0		3054.0	172.0	146269.0	8012.0	18256030.0	Asia
2022-04-13	Syria	55750	5.0	3147.0	1.0	51879.0	9.0	724.0		3054.0	172.0	146269.0	8012.0	18256030.0	Asia
2022-04-14	Syria	55756	6.0	3148.0	1.0	51893.0	14.0	715.0		3054.0	172.0	146269.0	8012.0	18256030.0	Asia
