Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Tajikistan	17388		124.0		17264.0		0.0		1754.0	13.0			9912437.0	Asia
2022-04-03	Tajikistan	17388		124.0		17264.0		0.0		1754.0	13.0			9913024.0	Asia
2022-04-04	Tajikistan	17388		124.0		17264.0		0.0		1754.0	13.0			9913611.0	Asia
2022-04-05	Tajikistan	17388		124.0		17264.0		0.0		1754.0	13.0			9914197.0	Asia
2022-04-06	Tajikistan	17388		124.0		17264.0		0.0		1754.0	13.0			9914784.0	Asia
2022-04-07	Tajikistan	17388		124.0		17264.0		0.0		1754.0	13.0			9915371.0	Asia
2022-04-08	Tajikistan	17388		124.0		17264.0		0.0		1754.0	13.0			9915958.0	Asia
2022-04-09	Tajikistan	17388		124.0		17264.0		0.0		1753.0	13.0			9916544.0	Asia
2022-04-10	Tajikistan	17388		124.0		17264.0		0.0		1753.0	13.0			9917131.0	Asia
2022-04-11	Tajikistan	17388		124.0		17264.0		0.0		1753.0	13.0			9917718.0	Asia
2022-04-12	Tajikistan	17388		124.0		17264.0		0.0		1753.0	13.0			9918305.0	Asia
2022-04-13	Tajikistan	17388		124.0		17264.0		0.0		1753.0	13.0			9918305.0	Asia
2022-04-14	Tajikistan	17388		124.0		17264.0		0.0		1753.0	13.0			9918305.0	Asia
