Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Tanzania	33815		800.0					7.0	539.0	13.0			62710097.0	Africa
2022-04-03	Tanzania	33815		800.0					7.0	539.0	13.0			62714764.0	Africa
2022-04-04	Tanzania	33815		800.0					7.0	539.0	13.0			62719432.0	Africa
2022-04-05	Tanzania	33815		800.0					7.0	539.0	13.0			62724099.0	Africa
2022-04-06	Tanzania	33815		800.0					7.0	539.0	13.0			62728766.0	Africa
2022-04-07	Tanzania	33815		800.0					7.0	539.0	13.0			62733433.0	Africa
2022-04-08	Tanzania	33815		800.0					7.0	539.0	13.0			62738101.0	Africa
2022-04-09	Tanzania	33815		800.0					7.0	539.0	13.0			62742768.0	Africa
2022-04-10	Tanzania	33815		800.0					7.0	539.0	13.0			62747435.0	Africa
2022-04-11	Tanzania	33815		800.0					7.0	539.0	13.0			62752103.0	Africa
2022-04-12	Tanzania	33815		800.0					7.0	539.0	13.0			62756770.0	Africa
2022-04-13	Tanzania	33851	36.0	803.0	3.0				7.0	539.0	13.0			62756770.0	Africa
2022-04-14	Tanzania	33851		803.0					7.0	539.0	13.0			62756770.0	Africa
