Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Timor-Leste	22832	2.0	130.0		22683.0	2.0	19.0		16759.0	95.0	257324.0	188877.0	1362386.0	Asia
2022-04-03	Timor-Leste	22832		130.0		22688.0	5.0	14.0		16758.0	95.0	257402.0	188925.0	1362455.0	Asia
2022-04-04	Timor-Leste	22832		130.0		22692.0	4.0	10.0		16757.0	95.0	257402.0	188916.0	1362524.0	Asia
2022-04-05	Timor-Leste	22832		130.0		22692.0		10.0		16756.0	95.0	257486.0	188968.0	1362592.0	Asia
2022-04-06	Timor-Leste	22832		130.0		22692.0		10.0		16755.0	95.0	257486.0	188958.0	1362661.0	Asia
2022-04-07	Timor-Leste	22836	4.0	130.0		22692.0		14.0		16758.0	95.0	257486.0	188949.0	1362730.0	Asia
2022-04-08	Timor-Leste	22842	6.0	130.0		22697.0	5.0	15.0		16761.0	95.0	258642.0	189787.0	1362798.0	Asia
2022-04-09	Timor-Leste	22842		130.0		22697.0		15.0		16760.0	95.0	258642.0	189778.0	1362867.0	Asia
2022-04-10	Timor-Leste	22842		130.0		22697.0		15.0		16759.0	95.0	258938.0	189985.0	1362936.0	Asia
2022-04-11	Timor-Leste	22842		130.0		22697.0		15.0		16759.0	95.0	258938.0	189976.0	1363005.0	Asia
2022-04-12	Timor-Leste	22844	2.0	130.0		22703.0	5.0	11.0		16759.0	95.0	259277.0	190215.0	1363073.0	Asia
2022-04-13	Timor-Leste	22848	4.0	130.0		22703.0		15.0		16762.0	95.0	259788.0	190590.0	1363073.0	Asia
2022-04-14	Timor-Leste	22848		130.0		22703.0		15.0		16762.0	95.0	259788.0	190590.0	1363073.0	Asia
