Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Togo	36943	4.0	272.0		36591.0		80.0		4287.0	32.0	719140.0	83445.0	8618172.0	Africa
2022-04-03	Togo	36943		272.0		36591.0		80.0		4286.0	32.0	719140.0	83439.0	8618704.0	Africa
2022-04-04	Togo	36944	1.0	272.0		36592.0	1.0	80.0		4286.0	32.0	720093.0	83545.0	8619235.0	Africa
2022-04-05	Togo	36945	1.0	272.0		36602.0	10.0	71.0		4286.0	32.0	720505.0	83588.0	8619767.0	Africa
2022-04-06	Togo	36946	1.0	272.0		36612.0	10.0	62.0		4286.0	32.0	720871.0	83625.0	8620298.0	Africa
2022-04-07	Togo	36950	4.0	272.0		36622.0	10.0	56.0		4286.0	32.0	721469.0	83689.0	8620830.0	Africa
2022-04-08	Togo	36955	5.0	272.0		36644.0	22.0	39.0		4286.0	32.0	722147.0	83763.0	8621361.0	Africa
2022-04-09	Togo	36955		272.0		36644.0		39.0		4286.0	32.0	722147.0	83757.0	8621893.0	Africa
2022-04-10	Togo	36956	1.0	272.0		36650.0	6.0	34.0		4286.0	32.0	722576.0	83802.0	8622425.0	Africa
2022-04-11	Togo	36957	1.0	272.0		36659.0	9.0	26.0		4286.0	32.0	723005.0	83847.0	8622956.0	Africa
2022-04-12	Togo	36957		272.0		36659.0		26.0		4286.0	32.0	723005.0	83841.0	8623488.0	Africa
2022-04-13	Togo	36957		272.0		36659.0		26.0		4286.0	32.0	723005.0	83841.0	8623488.0	Africa
2022-04-14	Togo	36957		272.0		36659.0		26.0		4286.0	32.0	723005.0	83841.0	8623488.0	Africa
