Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Tonga	6841	418.0	6.0		3344.0	184.0	3491.0		63465.0	56.0	176978.0	1641847.0	107792.0	Australia/Oceania
2022-04-03	Tonga	6996	155.0	9.0	3.0	4177.0	833.0	2810.0		64901.0	83.0	190857.0	1770555.0	107795.0	Australia/Oceania
2022-04-04	Tonga	7127	131.0	9.0		4550.0	373.0	2568.0		66114.0	83.0	204783.0	1899692.0	107798.0	Australia/Oceania
2022-04-05	Tonga	7234	107.0	9.0		4915.0	365.0	2310.0		67105.0	83.0	218754.0	2029220.0	107802.0	Australia/Oceania
2022-04-06	Tonga	7385	151.0	9.0		5339.0	424.0	2037.0		68503.0	83.0	232745.0	2158944.0	107805.0	Australia/Oceania
2022-04-07	Tonga	7528	143.0	9.0		5541.0	202.0	1978.0		69828.0	83.0	246893.0	2290118.0	107808.0	Australia/Oceania
2022-04-08	Tonga	7665	137.0	9.0		5733.0	192.0	1923.0		71096.0	83.0	261324.0	2423886.0	107812.0	Australia/Oceania
2022-04-09	Tonga	7931	266.0	9.0		5934.0	201.0	1988.0		73561.0	83.0	275789.0	2557984.0	107815.0	Australia/Oceania
2022-04-10	Tonga	7931		9.0		5934.0		1988.0		73559.0	83.0	275789.0	2557912.0	107818.0	Australia/Oceania
2022-04-11	Tonga	8228	297.0	9.0		5934.0		2285.0		76312.0	83.0	275789.0	2557841.0	107821.0	Australia/Oceania
2022-04-12	Tonga	8444	216.0	9.0		6645.0	711.0	1790.0		78312.0	83.0	290279.0	2692131.0	107825.0	Australia/Oceania
2022-04-13	Tonga	8559	115.0	11.0	2.0	6772.0	127.0	1776.0		79379.0	102.0	304785.0	2826664.0	107825.0	Australia/Oceania
2022-04-14	Tonga	8761	202.0	11.0		6900.0	128.0	1850.0		81252.0	102.0	319471.0	2962866.0	107825.0	Australia/Oceania
