Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Turks and Caicos	5910		36.0		5838.0		36.0	4.0	149114.0	908.0	436234.0	11006560.0	39634.0	North America
2022-04-03	Turks and Caicos	5910		36.0		5838.0		36.0	4.0	149111.0	908.0	436234.0	11006282.0	39635.0	North America
2022-04-04	Turks and Caicos	5910		36.0		5838.0		36.0	4.0	149103.0	908.0	436234.0	11005727.0	39637.0	North America
2022-04-05	Turks and Caicos	5910		36.0		5838.0		36.0	4.0	149099.0	908.0	436234.0	11005449.0	39638.0	North America
2022-04-06	Turks and Caicos	5923	13.0	36.0		5859.0	21.0	28.0	4.0	149424.0	908.0	447713.0	11294760.0	39639.0	North America
2022-04-07	Turks and Caicos	5923		36.0		5859.0		28.0	4.0	149416.0	908.0	447713.0	11294190.0	39641.0	North America
2022-04-08	Turks and Caicos	5923		36.0		5859.0		28.0	4.0	149412.0	908.0	447713.0	11293905.0	39642.0	North America
2022-04-09	Turks and Caicos	5923		36.0		5859.0		28.0	4.0	149405.0	908.0	447713.0	11293336.0	39644.0	North America
2022-04-10	Turks and Caicos	5923		36.0		5859.0		28.0	4.0	149401.0	908.0	447713.0	11293051.0	39645.0	North America
2022-04-11	Turks and Caicos	5923		36.0		5859.0		28.0	4.0	149393.0	908.0	447713.0	11292481.0	39647.0	North America
2022-04-12	Turks and Caicos	5923		36.0		5859.0		28.0	4.0	149390.0	908.0	447713.0	11292196.0	39648.0	North America
2022-04-13	Turks and Caicos	5936	13.0	36.0		5862.0	3.0	38.0	4.0	149718.0	908.0	447713.0	11292196.0	39648.0	North America
2022-04-14	Turks and Caicos	5936		36.0		5862.0		38.0	4.0	149718.0	908.0	447713.0	11292196.0	39648.0	North America
