Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	UAE	891588	288.0	2302.0		868492.0	830.0	20794.0		88280.0	228.0	148423053.0	14695982.0	10099567.0	Asia
2022-04-03	UAE	891872	284.0	2302.0		869315.0	823.0	20255.0		88305.0	228.0	148721873.0	14725094.0	10099893.0	Asia
2022-04-04	UAE	892170	298.0	2302.0		869993.0	678.0	19875.0		88332.0	228.0	149003998.0	14752550.0	10100220.0	Asia
2022-04-05	UAE	892470	300.0	2302.0		870614.0	621.0	19554.0		88359.0	228.0	149187489.0	14770240.0	10100546.0	Asia
2022-04-06	UAE	892714	244.0	2302.0		871055.0	441.0	19357.0		88380.0	228.0	149380063.0	14788828.0	10100872.0	Asia
2022-04-07	UAE	892929	215.0	2302.0		871669.0	614.0	18958.0		88398.0	228.0	149610167.0	14811130.0	10101199.0	Asia
2022-04-08	UAE	893072	143.0	2302.0		872271.0	602.0	18499.0		88410.0	228.0	149874467.0	14836816.0	10101525.0	Asia
2022-04-09	UAE	893312	240.0	2302.0		872830.0	559.0	18180.0		88431.0	228.0	150116930.0	14860337.0	10101852.0	Asia
2022-04-10	UAE	893538	226.0	2302.0		873449.0	619.0	17787.0		88450.0	228.0	150358912.0	14883811.0	10102178.0	Asia
2022-04-11	UAE	893762	224.0	2302.0		874040.0	591.0	17420.0		88469.0	228.0	150592774.0	14906479.0	10102505.0	Asia
2022-04-12	UAE	894286	316.0	2302.0		875116.0	509.0	16868.0		88518.0	228.0	151097132.0	14955920.0	10102831.0	Asia
2022-04-13	UAE	894523	237.0	2302.0		875602.0	486.0	16619.0		88542.0	228.0	151396113.0	14985514.0	10102831.0	Asia
2022-04-14	UAE	894523		2302.0		875602.0		16619.0		88542.0	228.0	151396113.0	14985514.0	10102831.0	Asia
