Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	UK	21216874	29825.0	165570.0	191.0	19075703.0	38589.0	1975601.0	356.0	309689.0	2417.0	505708151.0	7381491.0	68510300.0	Europe
2022-04-03	UK	21297966	45504.0	165640.0	70.0	19138117.0	62414.0	1994209.0	356.0	310868.0	2418.0	505708151.0	7381386.0	68511272.0	Europe
2022-04-04	UK	21337385	36567.0	165710.0	70.0	19200531.0	62414.0	1971144.0	356.0	311439.0	2419.0	506768342.0	7396756.0	68512244.0	Europe
2022-04-05	UK	21380243	41418.0	168488.0	71.0	19262941.0	62410.0	1948814.0	356.0	312060.0	2459.0	507265990.0	7403914.0	68513217.0	Europe
2022-04-06	UK	21433554	52477.0	168862.0	374.0	19336346.0	73405.0	1928346.0	351.0	312834.0	2465.0	507870986.0	7412640.0	68514189.0	Europe
2022-04-07	UK	21482591	47948.0	169095.0	233.0	19406489.0	70143.0	1907007.0	364.0	313545.0	2468.0	508482100.0	7421454.0	68515161.0	Europe
2022-04-08	UK	21524525	41934.0	169412.0	317.0	19470498.0	64009.0	1884615.0	361.0	314153.0	2473.0	509069181.0	7429917.0	68516134.0	Europe
2022-04-09	UK	21549830	25305.0	169759.0	347.0	19532167.0	61669.0	1847904.0	357.0	314518.0	2478.0	509604812.0	7437629.0	68517106.0	Europe
2022-04-10	UK	21596171	30310.0	169875.0	116.0	19531820.0		1894476.0	357.0	315189.0	2479.0	509604812.0	7437523.0	68518078.0	Europe
2022-04-11	UK	21626177	26850.0	169991.0	116.0	19607449.0	75629.0	1848737.0	357.0	315623.0	2481.0	510406009.0	7449111.0	68519051.0	Europe
2022-04-12	UK	21693271	34687.0	170999.0	149.0	19892105.0	91448.0	1630167.0	378.0	316598.0	2496.0	511253697.0	7461377.0	68520023.0	Europe
2022-04-13	UK	21715116	21845.0	171045.0	46.0	19974579.0	82474.0	1569492.0	385.0	316916.0	2496.0	511698520.0	7467868.0	68520023.0	Europe
2022-04-14	UK	21715116		171045.0		19973929.0		1570142.0	385.0	316916.0	2496.0	511698520.0	7467868.0	68520023.0	Europe
