Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	USA	81813710	30655.0	1008009.0	498.0	65382991.0	144972.0	15422710.0	1988.0	244658.0	3014.0	984636199.0	2944481.0	334400597.0	North America
2022-04-03	USA	81834572	21255.0	1008376.0	242.0	65525962.0	142971.0	15300234.0	1889.0	244716.0	3015.0	984989983.0	2945492.0	334405890.0	North America
2022-04-04	USA	81853949	16504.0	1008680.0	161.0	65680737.0	154775.0	15164532.0	1822.0	244770.0	3016.0	985833466.0	2947968.0	334411183.0	North America
2022-04-05	USA	81885591	23247.0	1009353.0	319.0	65843689.0	161049.0	15032549.0	1803.0	244861.0	3018.0	986829899.0	2950901.0	334416477.0	North America
2022-04-06	USA	81923308	29696.0	1010079.0	698.0	65974970.0	127988.0	14938259.0	1767.0	244970.0	3020.0	987410535.0	2952590.0	334421770.0	North America
2022-04-07	USA	81959180	35068.0	1010762.0	629.0	66104220.0	129250.0	14844198.0	1734.0	245073.0	3022.0	988292611.0	2955181.0	334427063.0	North America
2022-04-08	USA	82001291	37888.0	1011412.0	519.0	71452404.0	113983.0	9537475.0	1709.0	245195.0	3024.0	989587572.0	2959007.0	334432357.0	North America
2022-04-09	USA	82037670	36379.0	1011976.0	564.0	79813355.0	49262.0	1212339.0	1716.0	245300.0	3026.0	990701817.0	2962292.0	334437650.0	North America
2022-04-10	USA	82059067	22339.0	1012230.0	221.0	79854542.0	41187.0	1192295.0	1667.0	245360.0	3027.0	990969690.0	2963046.0	334442943.0	North America
2022-04-11	USA	82080966	19294.0	1012382.0	66.0	79914830.0	60294.0	1153754.0	1624.0	245422.0	3027.0	991187517.0	2963650.0	334448237.0	North America
2022-04-12	USA	82122008	26786.0	1013213.0	202.0	79962306.0	46412.0	1146489.0	1619.0	245541.0	3029.0	992080533.0	2966273.0	334453530.0	North America
2022-04-13	USA	82155292	33284.0	1013783.0	570.0	80016231.0	53925.0	1125278.0	1592.0	245640.0	3031.0	992492168.0	2967504.0	334453530.0	North America
2022-04-14	USA	82192880	37588.0	1014114.0	331.0	80052556.0	36325.0	1126210.0	1559.0	245753.0	3032.0	993285213.0	2969875.0	334453530.0	North America
