Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Uganda	163919	14.0	3595.0		100175.0	8.0	60149.0	2.0	3396.0	74.0	2558257.0	53002.0	48267221.0	Africa
2022-04-03	Uganda	163932	13.0	3595.0		100181.0	6.0	60156.0	2.0	3396.0	74.0	2561534.0	53065.0	48271187.0	Africa
2022-04-04	Uganda	163936	4.0	3595.0		100183.0	2.0	60158.0	2.0	3396.0	74.0	2564531.0	53123.0	48275153.0	Africa
2022-04-05	Uganda	163949	13.0	3595.0		100187.0	4.0	60167.0	2.0	3396.0	74.0	2568153.0	53194.0	48279119.0	Africa
2022-04-06	Uganda	163951	2.0	3596.0	1.0	100192.0	5.0	60163.0	3.0	3396.0	74.0	2570233.0	53233.0	48283085.0	Africa
2022-04-07	Uganda	163954	3.0	3596.0		100195.0	3.0	60163.0	3.0	3395.0	74.0	2573530.0	53296.0	48287051.0	Africa
2022-04-08	Uganda	163954		3596.0		100195.0		60163.0	3.0	3395.0	74.0	2573530.0	53292.0	48291016.0	Africa
2022-04-09	Uganda	163972	18.0	3596.0		100195.0		60181.0	3.0	3395.0	74.0	2577730.0	53375.0	48294982.0	Africa
2022-04-10	Uganda	163985	13.0	3596.0		100198.0	3.0	60191.0	3.0	3395.0	74.0	2583528.0	53490.0	48298948.0	Africa
2022-04-11	Uganda	163993	8.0	3596.0		100198.0		60199.0	3.0	3395.0	74.0	2587984.0	53578.0	48302914.0	Africa
2022-04-12	Uganda	164012	16.0	3596.0		100200.0		60216.0		3395.0	74.0	2592957.0	53677.0	48306880.0	Africa
2022-04-13	Uganda	164024	12.0	3596.0		100200.0		60228.0		3395.0	74.0	2596017.0	53740.0	48306880.0	Africa
2022-04-14	Uganda	164024		3596.0		100200.0		60228.0		3395.0	74.0	2596017.0	53740.0	48306880.0	Africa
