Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Ukraine	4968881	2081.0	107980.0	23.0				177.0	114824.0	2495.0	19521252.0	451110.0	43273831.0	Europe
2022-04-03	Ukraine	4971796	2915.0	108007.0	27.0				177.0	114893.0	2496.0	19521252.0	451117.0	43273117.0	Europe
2022-04-04	Ukraine	4972981	1185.0	108015.0	8.0				177.0	114923.0	2496.0	19521252.0	451125.0	43272403.0	Europe
2022-04-05	Ukraine	4973738	757.0	108019.0	4.0				177.0	114942.0	2496.0	19521252.0	451132.0	43271688.0	Europe
2022-04-06	Ukraine	4975837	2099.0	108041.0	22.0				177.0	114992.0	2497.0	19521252.0	451140.0	43270974.0	Europe
2022-04-07	Ukraine	4977998	2161.0	108076.0	35.0				177.0	115044.0	2498.0	19521252.0	451147.0	43270260.0	Europe
2022-04-08	Ukraine	4980224	2226.0	108098.0	22.0				177.0	115098.0	2498.0	19521252.0	451155.0	43269546.0	Europe
2022-04-09	Ukraine	4982249	2025.0	108118.0	20.0				177.0	115146.0	2499.0	19521252.0	451162.0	43268832.0	Europe
2022-04-10	Ukraine	4984466	2217.0	108132.0	14.0				177.0	115200.0	2499.0	19521252.0	451169.0	43268118.0	Europe
2022-04-11	Ukraine	4984733	267.0	108135.0	3.0				177.0	115208.0	2499.0	19521252.0	451177.0	43267404.0	Europe
2022-04-12	Ukraine	4987285	2135.0	108167.0	28.0				177.0	115268.0	2500.0	19521252.0	451184.0	43266690.0	Europe
2022-04-13	Ukraine	4988890	1605.0	108194.0	27.0				177.0	115306.0	2501.0	19521252.0	451184.0	43266690.0	Europe
2022-04-14	Ukraine	4988890		108194.0					177.0	115306.0	2501.0	19521252.0	451184.0	43266690.0	Europe
