Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Uzbekistan	237787	38.0	1637.0		235618.0	25.0	532.0	23.0	6929.0	48.0	1377915.0	40151.0	34318156.0	Asia
2022-04-03	Uzbekistan	237828	41.0	1637.0		235645.0	27.0	546.0	23.0	6930.0	48.0	1377915.0	40150.0	34319482.0	Asia
2022-04-04	Uzbekistan	237853	25.0	1637.0		235674.0	29.0	542.0	23.0	6930.0	48.0	1377915.0	40148.0	34320808.0	Asia
2022-04-05	Uzbekistan	237888	35.0	1637.0		235711.0	37.0	540.0	23.0	6931.0	48.0	1377915.0	40147.0	34322134.0	Asia
2022-04-06	Uzbekistan	237906	18.0	1637.0		235742.0	31.0	527.0	23.0	6931.0	48.0	1377915.0	40145.0	34323459.0	Asia
2022-04-07	Uzbekistan	237932	26.0	1637.0		235787.0	45.0	508.0	23.0	6932.0	48.0	1377915.0	40143.0	34324785.0	Asia
2022-04-08	Uzbekistan	237967	35.0	1637.0		235825.0	38.0	505.0	23.0	6933.0	48.0	1377915.0	40142.0	34326111.0	Asia
2022-04-09	Uzbekistan	237994	27.0	1637.0		235857.0	32.0	500.0	23.0	6933.0	48.0	1377915.0	40140.0	34327437.0	Asia
2022-04-10	Uzbekistan	238040	46.0	1637.0		235921.0	64.0	482.0	23.0	6934.0	48.0	1377915.0	40139.0	34328763.0	Asia
2022-04-11	Uzbekistan	238071	31.0	1637.0		235981.0	60.0	453.0	23.0	6935.0	48.0	1377915.0	40137.0	34330089.0	Asia
2022-04-12	Uzbekistan	238088	17.0	1637.0		236022.0	41.0	429.0	23.0	6935.0	48.0	1377915.0	40136.0	34331414.0	Asia
2022-04-13	Uzbekistan	238098	10.0	1637.0		236029.0	7.0	432.0	23.0	6935.0	48.0	1377915.0	40136.0	34331414.0	Asia
2022-04-14	Uzbekistan	238145	47.0	1637.0		236057.0	28.0	451.0	23.0	6937.0	48.0	1377915.0	40136.0	34331414.0	Asia
