Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Vatican City	29				28.0		1.0		36025.0				805.0	Europe
2022-04-03	Vatican City	29				28.0		1.0		36025.0				805.0	Europe
2022-04-04	Vatican City	29				28.0		1.0		36025.0				805.0	Europe
2022-04-05	Vatican City	29				28.0		1.0		36025.0				805.0	Europe
2022-04-06	Vatican City	29				28.0		1.0		36025.0				805.0	Europe
2022-04-07	Vatican City	29				28.0		1.0		36025.0				805.0	Europe
2022-04-08	Vatican City	29				28.0		1.0		36025.0				805.0	Europe
2022-04-09	Vatican City	29				28.0		1.0		36025.0				805.0	Europe
2022-04-10	Vatican City	29				29.0	1.0	0.0		36025.0				805.0	Europe
2022-04-11	Vatican City	29				29.0		0.0		36025.0				805.0	Europe
2022-04-12	Vatican City	29				29.0		0.0		36025.0				805.0	Europe
2022-04-13	Vatican City	29				29.0		0.0		36025.0				805.0	Europe
2022-04-14	Vatican City	29				29.0		0.0		36025.0				805.0	Europe
