Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623031.0	Africa
2022-04-03	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623071.0	Africa
2022-04-04	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623111.0	Africa
2022-04-05	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623152.0	Africa
2022-04-06	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623192.0	Africa
2022-04-07	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623232.0	Africa
2022-04-08	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623272.0	Africa
2022-04-09	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623312.0	Africa
2022-04-10	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623353.0	Africa
2022-04-11	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623393.0	Africa
2022-04-12	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623433.0	Africa
2022-04-13	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623433.0	Africa
2022-04-14	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623433.0	Africa
